platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DXCErIWDAOG,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DXCErIWDAOG/,admk_voice_of_kangeyam,,"""எங்கள் அண்ணன் திரு.NSN.நடராஜ் அவர்கள் வாழ்க 🌱🔥💥 #aiadmk  #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம் #nsn_nataraj"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:56:37.582603,,False,positive,0.4027,3.0,
instagram,post,DXB7Xi7FHc3,,https://www.instagram.com/admk_voice_of_kangeyam/p/DXB7Xi7FHc3/,admk_voice_of_kangeyam,,"""#aiadmk  #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம் #nsn_nataraj"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:56:42.970993,,False,neutral,0.5522,3.0,
instagram,post,DXBU-1jACJu,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DXBU-1jACJu/,admk_voice_of_kangeyam,,"""ADMK NSN.Natarj 🌱🔥🔥💥 #aiadmk  #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம்  #nsn_nataraj"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:56:50.481468,,False,neutral,0.525,3.0,
instagram,post,DW_kAOPDJli,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DW_kAOPDJli/,admk_voice_of_kangeyam,,"""காங்கேயத்தின் தலைவரான NSN.நடராஜ் #bjp #aiadmk #epsfor2026 #nsn_nataraj #இரட்டை_இலைக்கு_வாக்களிப்போம்"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:02.471121,,False,neutral,0.5364,3.0,
instagram,post,DW_iRNZFFWT,,https://www.instagram.com/admk_voice_of_kangeyam/p/DW_iRNZFFWT/,admk_voice_of_kangeyam,,"""BJP Mr.Annamalai Ex.IPS at Kangeyam #aiadmk  #bjp #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம்"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:09.735003,,False,neutral,0.4755,3.0,
instagram,post,DW-x5IMAKm6,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DW-x5IMAKm6/,admk_voice_of_kangeyam,,"""10.04.2026 அன்று திரு.அண்ணாமலை அவர்கள் NSN.நடராஜ் அவர்களுக்கு இரட்டை இலை சின்னத்தில் வாக்கு சேகரிக்க காங்கேயம் வருகைதந்தார் #annamalai #bjp #aiadmk aiadmk  #epsfor2026  #nsn இரட்டை_இலையில்_வாக்களிப்போம்"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:16.680673,,False,neutral,0.6239,3.0,
instagram,post,DW8MpCvgBT_,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DW8MpCvgBT_/,admk_voice_of_kangeyam,,"""#aiadmk  #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம்  #nsn_nataraj"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:24.448375,,False,neutral,0.5522,3.0,
instagram,post,DW6mcefDFmn,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DW6mcefDFmn/,admk_voice_of_kangeyam,,"""🌱🌱அம்மாவின் வழியில்… மக்கள் சேவையே எங்கள் நோக்கம். நமது வெற்றி வேட்பாளர்..N.S.N.💯🌱🔥 #aiadmk  #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம் #nsn_nataraj"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:37.688212,,False,neutral,0.4582,3.0,
instagram,post,DW6USfAjF-4,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DW6USfAjF-4/,admk_voice_of_kangeyam,,"""10.04.2026 அன்று திரு.அண்ணாமலை அவர்கள் NSN.நடராஜ் அவர்களுக்கு இரட்டை இலை சின்னத்தில் வாக்கு சேகரிக்க காங்கேயம் வருகிறார் #annamalai #bjp #aiadmk #epsfor2026  #nsn_nataraj"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:45.139538,,False,neutral,0.7191,3.0,
instagram,post,DW5lc8_jDbz,,https://www.instagram.com/admk_voice_of_kangeyam/reel/DW5lc8_jDbz/,admk_voice_of_kangeyam,,"""#aiadmk  #epsfor2026  #nsn #இரட்டை_இலையில்_வாக்களிப்போம் #nsn_nataraj 🌱 நமது வெற்றி வேட்பாளர்..N.S.N.💯🌱🔥"".",,,,,,,scrapling_instagram_profile,2026-04-13T00:57:50.950215,,False,neutral,0.4609,3.0,
