platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DQwMAg3khi6,,https://www.instagram.com/spv__boys/p/DQwMAg3khi6/,admksuluryouthwing,,"""அ.இ.அ.தி.மு.க கோவை புறநகர் தெற்கு மாவட்டம், தொண்டாமுத்தூர் சட்டமன்றத் தொகுதி வாக்குச்சாவடி முகவர்கள் (BLA-2) ஆலோசனைக் கூட்டத்தில் கலந்து கொண்டு சிறப்புரையாற்றிய  கழக தலைமை நிலை செயலாளர், மாவட்ட கழக செயலாளர் , சட்டமன்ற எதிர்கட்சி கொறடா, முன்னாள் அமைச்சர், திரு.S.P.வேலுமணி அவர்கள்.. @spvelumanicbe @spvelumaniteam   #களத்தில்SPV #spvelumani #spvelumanicbe #edapadipalanisamy #epsfor2026 #coimbatore #thondamuthur #spvboys #admkitwing #ADMK_CBE #aiadmk"".",18,,,,,0,scrapling_instagram_profile,2026-04-14T01:21:58.570960,,False,neutral,0.7484,3.0,
instagram,post,DQs-z94EoDK,,https://www.instagram.com/spv__boys/reel/DQs-z94EoDK/,admksuluryouthwing,,"""-வேங்கை வாழ்ந்த காட்டிலே வேங்கை வந்து நிறப்படும்…!❤️‍🔥🌱  #aiadmk🌱🖤🤍❤️ #admk #spvelumanicbe #spvelumani #edapadiyar🖤🤍❤️ #edapadipalanisamy #epsfortn #epsfor2026 #spv #spvboys #coimbatore #admkitwing"".",75,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:03.711463,,False,positive,0.522,3.0,
instagram,post,DP5aDp2ETY4,,https://www.instagram.com/spv__boys/p/DP5aDp2ETY4/,admksuluryouthwing,,"""ஆலமரம் போல தழைத்து, தரணியெங்கும் கிளைகள் பரப்பி நிற்கும் அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகத்தின் 54-வது ஆண்டு தொடக்க விழா!  #என்றென்றும்_அஇஅதிமுக #AIADMK54 #ADMK_CBE  #spvarmy #spvboys"".",38,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:07.626520,,False,neutral,0.5011,3.0,
instagram,post,DPjLsQKkqgl,,https://www.instagram.com/spv__boys/reel/DPjLsQKkqgl/,admksuluryouthwing,,"""மாண்புமிகு எடப்பாடியார் அவர்களின் கையை புடிச்சதும்  அந்த இஸ்லாமிய சகோதரனின் சந்தோசத்தை பாருங்க..❤️  இது எல்லாம் கோடி ரூபாய் கொடுத்தாலும் கிடைக்காது!!  #admk #aiadmk #eps #epsfor2026 #admk_cbe #spv_boys #edapadipalaniswamy #tamilnadu"".",63,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:12.626399,,False,neutral,0.3959,3.0,
instagram,post,DOfYNzZkRJJ,,https://www.instagram.com/admksuluryouthwing/reel/DOfYNzZkRJJ/,admksuluryouthwing,,"""என்றும் மக்களுக்காக பயணிப்போம்🌱🌱  #admkitwing #admkstudentwing #admk #edappadipalaniswami #spvelumani #dmkfailstn #singaigramachandran #epstamilnadu"".",26,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:17.363374,,False,neutral,0.6011,3.0,
instagram,post,DOfLeMjkZwf,,https://www.instagram.com/aiadmk__4tn/reel/DOfLeMjkZwf/,admksuluryouthwing,,"""கொங்கு நாட்டின் இருபெரும் தூண்கள் 📈🌱🔥 . . . . #trendingreels #trending #aiadmk #aiadmk_it_wing #aiadmk🌱🖤🤍❤️ #tamil #viral #viralreels #mission #viralvideos #instagram #dmk #dmkfails #admk #admk_cbe"".",157,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:23.587062,,False,neutral,0.4662,3.0,
instagram,post,DN0e-3Awjxg,,https://www.instagram.com/admksuluryouthwing/reel/DN0e-3Awjxg/,admksuluryouthwing,,"""இப்படி பண்ணிடிங்களே.. அம்மா உணவகம் பசி ஆற்றும் இடம்.  Amma - Edappadi k palanisamy"".",110,,,,,2,scrapling_instagram_profile,2026-04-14T01:22:28.249945,,False,negative,0.4087,3.0,
instagram,post,DIX4gY9Tk7G,,https://www.instagram.com/admksuluryouthwing/reel/DIX4gY9Tk7G/,admksuluryouthwing,,"""EPS🔥"".",29,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:33.404404,,False,positive,0.3696,3.0,
instagram,post,DHk3bTLRf49,,https://www.instagram.com/admksuluryouthwing/p/DHk3bTLRf49/,admksuluryouthwing,,"""பத்திரிக்கையாளர் சவுக்கு சங்கர் அவர்கள் வீட்டில் மனிதக் கழிவுகளை வீசி அராஜகம்!.  சவுக்கு சங்கர் வீட்டில் நடத்தப்பட்ட இந்த தாக்குதல் மிகவும் அநாகரிகமானது, கருத்து சுதந்திரத்திற்கு ஆபத்தானது!.   #dmkfailstn"".",12,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:37.416407,,False,negative,0.7854,3.0,
instagram,post,DFLIe5MibsV,,https://www.instagram.com/admksuluryouthwing/reel/DFLIe5MibsV/,admksuluryouthwing,,"""AIADMK🖤🤍❤️"".",24,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:42.693159,,False,neutral,0.4587,3.0,
instagram,post,DEMenYYTQQz,,https://www.instagram.com/admksuluryouthwing/reel/DEMenYYTQQz/,admksuluryouthwing,,"""இதுக்கு ஒரு தனிப்படை அமைக்கலமா திரு. ஸ்டாலின்.. பொய் சொல்லி தான ஜெய்சீங்க..   நீ வாங்க போற டி😂😂 இனி நேரவே அடிப்பாங்க போல😂😂"".",33,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:47.228325,,False,negative,0.4755,3.0,
instagram,post,DEKsRiWzHF6,,https://www.instagram.com/admksuluryouthwing/reel/DEKsRiWzHF6/,admksuluryouthwing,,"""சென்னையின் மைய பகுதியில் அமைந்துள்ள எக்ஸ்பிரஸ் அவன்யூ மாலில் #அதிமுக நூதன போராட்டம்  அண்ணா பல்கலைகழக மாணவி பாலியல் வன்கொடுமை சம்பவத்தை கண்டிக்கும் வகையில் #யார்_அந்த_சார்..? என்ற கேள்வியுடன் #அதிமுக சார்பில் பதாகைகள் ஏந்தி போராட்டம்  Express Avenue Mall @ Chennai All India Anna Dravida Munnetra Kazhagam (AIADMK) AIADMK's IT Wing #aiadmk"".",40,,,,,0,scrapling_instagram_profile,2026-04-14T01:22:52.455027,,False,neutral,0.5546,3.0,
instagram,post,DD4a38HTSgH,,https://www.instagram.com/admksuluryouthwing/reel/DD4a38HTSgH/,admksuluryouthwing,,"""தெய்வத்திடம் வேண்டியது அப்பொழுதே கிடைக்கும்.. புரட்சி தலைவி பெயரை உலகம் என்றும் சொல்லும்... அம்மா🌱🌱🌱"".",33,,,,,1,scrapling_instagram_profile,2026-04-14T01:22:57.356127,,False,neutral,0.5145,0.0,
instagram,post,DDcKC24yNpd,,https://www.instagram.com/ranjith_kumaran_senathipathy/reel/DDcKC24yNpd/,admksuluryouthwing,,"""என்றும் எடப்பாடியார்.. மக்களின் முதல்வர்🔥  #admk #aiadmk #edappadipalaniswami"".",78,,,,,1,scrapling_instagram_profile,2026-04-14T01:23:02.261112,,False,neutral,0.6159,3.0,
instagram,post,DDPUEb2zcVR,,https://www.instagram.com/admksuluryouthwing/reel/DDPUEb2zcVR/,admksuluryouthwing,,"""ADMK💯💯 ithu than unmai.. thaniya nikka yarukum Veeram Illa💯💯"".",35,,,,,1,scrapling_instagram_profile,2026-04-14T01:23:07.482586,,False,neutral,0.3847,3.0,
instagram,post,DDL_4ySz8CC,,https://www.instagram.com/admksuluryouthwing/reel/DDL_4ySz8CC/,admksuluryouthwing,,"""சிம்மகர்ஜனை🔥 எங்கள் இதயதெய்வம்🔥"".",34,,,,,0,scrapling_instagram_profile,2026-04-14T01:23:11.884512,,False,neutral,0.5388,0.0,
instagram,post,DChgrB1ower,,https://www.instagram.com/admksuluryouthwing/reel/DChgrB1ower/,admksuluryouthwing,,"""ADMK✌🏻"".",42,,,,,0,scrapling_instagram_profile,2026-04-14T01:23:17.101233,,False,neutral,0.5603,3.0,
instagram,post,C8cQXONyP1o,,https://www.instagram.com/aiadmk_sulur_cbe/reel/C8cQXONyP1o/,admksuluryouthwing,,"""#resign_stalin"".",38,,,,,1,scrapling_instagram_profile,2026-04-14T01:23:21.409500,,False,neutral,0.4199,3.0,
instagram,post,C7tbjLhyrAs,,https://www.instagram.com/admksuluryouthwing/reel/C7tbjLhyrAs/,admksuluryouthwing,,"""Namma thaan jeikurom🔥"".",55,,,,,0,scrapling_instagram_profile,2026-04-14T01:23:26.406415,,False,neutral,0.3592,0.0,
instagram,post,C62nq7LSQVC,,https://www.instagram.com/aiadmk_sulur_cbe/p/C62nq7LSQVC/,admksuluryouthwing,,"""இன்று பிறந்தநாள் காணும் மாண்புமிகு எங்கள் பொதுச்செயலாளர்.. தமிழகத்தின் எதிர்க்கட்சித் தலைவர்..நாளைய தமிழ்நாடு முதல்வர்... மாண்புமிகு திரு.எடப்பாடி K.பழனிச்சாமி அவர்கள் வாழ்க பல்லாண்டு என வாழ்த்தி மகிழ்கிறோம்..!🦁🔥😻🌱🖤🤍❤️  #admk_cbe #aiadmk #admkitwing #admkofficial #admksulur #admkitwing #aiadmkitwingcoimbatore"".",97,,,,,0,scrapling_instagram_profile,2026-04-14T01:23:30.682642,,False,positive,0.5187,3.0,
instagram,post,C56PSdOPXHc,,https://www.instagram.com/spv__boys/reel/C56PSdOPXHc/,admksuluryouthwing,,"""வாக்களிப்பீர் இரட்டைஇலைக்கே! 🌱🌱  #வெல்லட்டும்_இரட்டைஇலை #ஒற்றைவிரலால்_ஓங்கிஅடிப்போம் #Coimbatore #ParliamentaryElection2024 #aiadmk  #ramachandran #ramachandran4kovai"".",230,,,,,0,scrapling_instagram_profile,2026-04-14T01:23:36.210088,,False,neutral,0.4131,3.0,
instagram,post,C526JC2ShOi,,https://www.instagram.com/admksuluryouthwing/reel/C526JC2ShOi/,admksuluryouthwing,,"""என்ன என்ன பண்றான்னுங்க பாருங்க😂😂 பொய் பொய் பொய்"".",111,,,,,15,scrapling_instagram_profile,2026-04-14T01:23:40.958355,,False,negative,0.4941,0.0,
