platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DWynIabET12,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,aiadmkitwing_sulur,,"39 likes, 0 comments - aiadmkitwing_sulur on April 6, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.7189,3.0,
instagram,post,DWyFtz1EfnB,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWyFtz1EfnB/,aiadmkitwing_sulur,,"47 likes, 0 comments - aiadmkitwing_sulur on April 6, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:02.918367,,False,neutral,0.7074,3.0,
instagram,post,DWx-VUikXOw,,https://www.instagram.com/aiadmkitwing_sulur/p/DWx-VUikXOw/,aiadmkitwing_sulur,,"""தொகுதியின் வெற்றி வேட்பாளர் எளிமையான சட்டமன்ற உறுப்பினர் என்று பெயர் எடுத்தவர் சூலூர் தொகுதி மக்களின் அன்பை பெற்றவர் மதிப்பிற்கும் மரியாதைக்கும் உரிய திரு #VP_ கந்தசாமி அவர்கள் தற்போது வேட்புமனு தாக்கல் செய்தார்..  #ADMK_CBE #எடப்பாடியார் #எடப்பாடியார்_வெல்கிறார் #எடப்பாடியார்_உறுதியளிக்கிறார்"".",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:06.997349,,False,neutral,0.5407,3.0,
instagram,post,DWqnGSFEeY6,,https://www.instagram.com/aiadmkitwing_sulur/p/DWqnGSFEeY6/,aiadmkitwing_sulur,,"2 likes, 0 comments - aiadmkitwing_sulur on April 3, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:10.927990,,False,neutral,0.7072,3.0,
instagram,post,DWk5m8nETdF,,https://www.instagram.com/aiadmkitwing_sulur/p/DWk5m8nETdF/,aiadmkitwing_sulur,,"""🌱✌️ குடும்ப அட்டைதாரர்களுக்கு ஆண்டுக்கு விலையில்லா 3 கேஸ் சிலிண்டர்கள் வழங்கப்படும் 🔥📢"".",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:14.960028,,False,neutral,0.7527,0.0,
instagram,post,DWk5et_kdQL,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWk5et_kdQL/,aiadmkitwing_sulur,,"3 likes, 0 comments - aiadmkitwing_sulur on March 31, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:20.422159,,False,neutral,0.6742,3.0,
instagram,post,DWiebSsEV5L,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWiebSsEV5L/,aiadmkitwing_sulur,,"9 likes, 0 comments - aiadmkitwing_sulur on March 30, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:25.011230,,False,neutral,0.7097,3.0,
instagram,post,DWYgleUkZyA,,https://www.instagram.com/aiadmkitwing_sulur/p/DWYgleUkZyA/,aiadmkitwing_sulur,,"13 likes, 0 comments - aiadmkitwing_sulur on March 27, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:29.242785,,False,neutral,0.6806,3.0,
instagram,post,DWDiLIRkUEf,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWDiLIRkUEf/,aiadmkitwing_sulur,,"""தமிழகத்தின் திசையெங்கும் அதிமுக கூட்டணியின் வெற்றி முழக்கம் எதிரொலிக்கிறது!  கருத்துக் கணிப்புகள் கட்டியம் கூறுவது போல், 210-க்கும் மேற்பட்ட அரியணைகளைக் கைப்பற்றி   மாண்புமிகு கழகப் பொதுச்செயலாளர் புரட்சித் தமிழர் @EPSTamilNadu அவர்களின் தலைமையில் புரட்சித்தலைவி அம்மாவின் பொற்கால ஆட்சியை மீண்டும் நிலைநாட்டி சரித்திரம் படைப்பது உறுதி!  #EPS2026"".",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:34.762551,,False,neutral,0.5021,3.0,
instagram,post,DWBy7UQES4X,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWBy7UQES4X/,aiadmkitwing_sulur,,"5 likes, 0 comments - aiadmkitwing_sulur on March 18, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:39.795760,,False,neutral,0.6946,3.0,
instagram,post,DWBVklMEeEj,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWBVklMEeEj/,aiadmkitwing_sulur,,"""உண்மையான சாமானியர், சாதாரண விவசாயி, ஃபைலை பென்டிங்ல வைக்காத முதல்வர்! ✌🏻🌱  #admkfor2026"".",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:44.948539,,False,neutral,0.5294,3.0,
instagram,post,DWBVTY_kYs4,,https://www.instagram.com/aiadmkitwing_sulur/reel/DWBVTY_kYs4/,aiadmkitwing_sulur,,"""கர்ம வீரர் காமராஜர் படிக்க வச்சாரு  கருணாநிதி குடிக்க வச்சாரு ✅  திமுக மாநாட்டுக்கு சென்ற இளைஞர்கள் பேருந்திலேயே மது அருந்தி  புகை பிடித்த காட்சி 😢"".",,,,,,,scrapling_instagram_profile,2026-04-07T14:01:50.945955,,False,neutral,0.4493,0.0,
