platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DWynIabET12_c0,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,admk_vinoth_sulur,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.4055,3.0,
instagram,comment,DWynIabET12_c1,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.4209,0.0,
instagram,comment,DWynIabET12_c2,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.5217,0.0,
instagram,comment,DWynIabET12_c3,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.4064,0.0,
instagram,comment,DWynIabET12_c4,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,negative,0.3923,0.0,
instagram,comment,DWynIabET12_c5,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.4516,0.0,
instagram,comment,DWynIabET12_c6,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.6627,0.0,
instagram,comment,DWynIabET12_c7,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.6687,0.0,
instagram,comment,DWynIabET12_c8,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.9274,0.0,
instagram,comment,DWynIabET12_c9,DWynIabET12,https://www.instagram.com/aiadmkitwing_sulur/reel/DWynIabET12/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-07T14:00:58.878863,,False,neutral,0.8975,0.0,
