platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DW6CxUtk7KN,,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,jayaramakrishnan.r,,"""இராவணா புரம் ஊராட்சி அனுமந்தபட்டினம் பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் தெற்கு மாவட்ட கழக பொறுப்பாளர் பொள்ளாச்சி நாடாளுமன்ற உறுப்பினர் திரு கே.ஈஸ்வரசாமி அவர்கள் தலைமையில் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில் பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார் #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.6212,3.0,
instagram,post,DW6BKT4E428,,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,jayaramakrishnan.r,,"""இராவணாபுரம் ஊராட்சி இந்திரா நகர் பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில் பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார் உங்கள் வெற்றி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன்❤️🖤 #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.6195,3.0,
instagram,post,DW590ftoUOM,,https://www.instagram.com/jayaramakrishnan.r/reel/DW590ftoUOM/,jayaramakrishnan.r,,"""மலைவாழ் மக்களின் உரிமைகள் பேசப்பட வேண்டும், அவர்களின் தேவைகள் நிறைவேற்றப்பட வேண்டும்! அதற்காக, உங்கள் குரலாக நான் என்றும் முன்னிலையில் இருப்பேன் உங்கள் வெற்றி வேட்பாளர் இரா. ஜெயராமகிருஷ்ணன் ❤️🖤 #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:14.455042,,False,neutral,0.4861,3.0,
instagram,post,DW5xkqgDpMp,,https://www.instagram.com/jayaramakrishnan.r/p/DW5xkqgDpMp/,jayaramakrishnan.r,,"""புங்கமுத்தூர் ஊராட்சி கரட்டுமடம் பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் தெற்கு மாவட்ட கழக பொறுப்பாளர் பொள்ளாச்சி நாடாளுமன்ற உறுப்பினர் திரு கே.ஈஸ்வரசாமி அவர்கள் தலைமையில் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில் பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார். #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:18.056709,,False,neutral,0.6251,3.0,
instagram,post,DW5wJEOjmyk,,https://www.instagram.com/jayaramakrishnan.r/p/DW5wJEOjmyk/,jayaramakrishnan.r,,"""கொடுங்கியம் ஊராட்சி வல்லகுண்டாபுரம் பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் தெற்கு மாவட்ட கழக பொறுப்பாளர் பொள்ளாச்சி நாடாளுமன்ற உறுப்பினர் திரு கே.ஈஸ்வரசாமி அவர்கள் தலைமையில் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில் பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார். #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:21.794334,,False,neutral,0.6571,3.0,
instagram,post,DW5ugAyoAg9,,https://www.instagram.com/jayaramakrishnan.r/reel/DW5ugAyoAg9/,jayaramakrishnan.r,,"""மலைவாழ் மக்களின் வாழ்க்கை முன்னேற, அவர்களின் குரல் எப்போதும் ஒலிக்க… நான் தொடர்ந்து உங்களுடன் நிற்பேன்..உங்கள் வெற்றி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன்❤️🖤 #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:25.568452,,False,positive,0.4446,3.0,
instagram,post,DW5slOvk6pw,,https://www.instagram.com/jayaramakrishnan.r/p/DW5slOvk6pw/,jayaramakrishnan.r,,"""எரிசினம்பட்டி பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் தெற்கு மாவட்ட கழக பொறுப்பாளர் பொள்ளாச்சி நாடாளுமன்ற உறுப்பினர் திரு கே.ஈஸ்வரசாமி அவர்கள் தலைமையில் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில் பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார். உங்கள் வெற்றி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன்❤️🖤 #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:29.458726,,False,neutral,0.5945,3.0,
instagram,post,DW5b7WgE5Hl,,https://www.instagram.com/jayaramakrishnan_ex_mla/p/DW5b7WgE5Hl/,jayaramakrishnan.r,,"""ரெட்டிபட்டி ஊராட்சி மற்றும் சர்க்கார் புதூர் பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் தெற்கு மாவட்ட கழக பொறுப்பாளர் பொள்ளாச்சி நாடாளுமன்ற உறுப்பினர் திரு கே.ஈஸ்வரசாமி அவர்கள் தலைமையில் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில்  பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார். வாக்களிப்பீர்_உதயசூரியன் ☀️   #மடத்துக்குளம்_சட்டமன்ற_தொகுதி  உங்கள் வெற்றி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன்❤️🖤  #ஸ்டாலின்_தொடரட்டும்‌  #தமிழ்நாடு_வெல்லட்டும்  #VoteForDMK @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:33.312745,,False,neutral,0.633,3.0,
instagram,post,DW5R0x5k7sB,,https://www.instagram.com/jayaramakrishnan_ex_mla/p/DW5R0x5k7sB/,jayaramakrishnan.r,,"""ரெட்டிபட்டி ஊராட்சி மற்றும் சர்க்கார் புதூர் பகுதியில் மதசார்பற்ற முற்போக்கு கூட்டணி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன் அவர்கள் தெற்கு மாவட்ட கழக பொறுப்பாளர் பொள்ளாச்சி நாடாளுமன்ற உறுப்பினர் திரு கே.ஈஸ்வரசாமி அவர்கள் தலைமையில் மதசார்பற்ற முற்போக்கு கூட்டணி கட்சி நிர்வாகிகள் முன்னிலையில்  பொதுமக்களை சந்தித்து உதய சூரியன் சின்னத்திற்கு வாக்குகள் சேகரித்தார். #வாக்களிப்பீர்_உதயசூரியன்   #மடத்துக்குளம்_சட்டமன்ற_தொகுதி  #இரா_ஜெயராமகிருஷ்ணன்bsc_bl   #ஸ்டாலின்_தொடரட்டும்‌  #தமிழ்நாடு_வெல்லட்டும்  #VoteForDMK #voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:38.174147,,False,neutral,0.6079,3.0,
instagram,post,DW4EigfossQ,,https://www.instagram.com/jayaramakrishnan.r/reel/DW4EigfossQ/,jayaramakrishnan.r,,"""மக்களுடன்… மக்களுக்காக… மீண்டும் வெற்றி நிச்சயம் உங்கள் ஒவ்வொரு வாக்கும்… வெற்றியாக மாறும் தருணம்! உங்கள் வெற்றி வேட்பாளர் இரா.ஜெயராமகிருஷ்ணன்❤️🖤 #DMK4TN #VoteForDMK #ஸ்டாலின்_தொடரட்டும்‌ #தமிழ்நாடு_வெல்லட்டும் #madathukulam#voteforjrk @mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T18:06:42.268067,,False,positive,0.4686,3.0,
