platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DW6CxUtk7KN_c0,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4338,0.0,
instagram,comment,DW6CxUtk7KN_c1,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4516,0.0,
instagram,comment,DW6CxUtk7KN_c2,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.8975,0.0,
instagram,comment,DW6CxUtk7KN_c3,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4209,0.0,
instagram,comment,DW6CxUtk7KN_c4,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.5378,0.0,
instagram,comment,DW6CxUtk7KN_c5,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,6prabhakaranprabhu,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,positive,0.3459,0.0,
instagram,comment,DW6CxUtk7KN_c6,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4607,0.0,
instagram,comment,DW6CxUtk7KN_c7,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.6173,0.0,
instagram,comment,DW6CxUtk7KN_c8,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4064,0.0,
instagram,comment,DW6CxUtk7KN_c9,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,❤️😍❤️😍❤️😍😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍😍❤️😍😍❤️😍❤️❤️,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,positive,0.8231,0.0,
instagram,comment,DW6CxUtk7KN_c10,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.5217,0.0,
instagram,comment,DW6CxUtk7KN_c11,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.5468,0.0,
instagram,comment,DW6CxUtk7KN_c12,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.6627,0.0,
instagram,comment,DW6CxUtk7KN_c13,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4551,0.0,
instagram,comment,DW6CxUtk7KN_c14,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,negative,0.3923,0.0,
instagram,comment,DW6CxUtk7KN_c15,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.9274,0.0,
instagram,comment,DW6CxUtk7KN_c16,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.4005,0.0,
instagram,comment,DW6CxUtk7KN_c17,DW6CxUtk7KN,https://www.instagram.com/jayaramakrishnan.r/p/DW6CxUtk7KN/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:06.695711,,False,neutral,0.6687,0.0,
instagram,comment,DW6BKT4E428_c0,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Start the conversation.,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.6087,0.0,
instagram,comment,DW6BKT4E428_c1,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4338,0.0,
instagram,comment,DW6BKT4E428_c2,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4516,0.0,
instagram,comment,DW6BKT4E428_c3,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.8975,0.0,
instagram,comment,DW6BKT4E428_c4,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4209,0.0,
instagram,comment,DW6BKT4E428_c5,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.5378,0.0,
instagram,comment,DW6BKT4E428_c6,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4607,0.0,
instagram,comment,DW6BKT4E428_c7,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.6173,0.0,
instagram,comment,DW6BKT4E428_c8,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4064,0.0,
instagram,comment,DW6BKT4E428_c9,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.5217,0.0,
instagram,comment,DW6BKT4E428_c10,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.5468,0.0,
instagram,comment,DW6BKT4E428_c11,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.6627,0.0,
instagram,comment,DW6BKT4E428_c12,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4551,0.0,
instagram,comment,DW6BKT4E428_c13,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,negative,0.3923,0.0,
instagram,comment,DW6BKT4E428_c14,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.9274,0.0,
instagram,comment,DW6BKT4E428_c15,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.4005,0.0,
instagram,comment,DW6BKT4E428_c16,DW6BKT4E428,https://www.instagram.com/jayaramakrishnan.r/p/DW6BKT4E428/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:10.361886,,False,neutral,0.6687,0.0,
instagram,comment,DW590ftoUOM_c0,DW590ftoUOM,https://www.instagram.com/jayaramakrishnan.r/reel/DW590ftoUOM/,unknown,,❤️😍❤️😍❤️😍😍❤️😍❤️❤️😍😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍,,,,,,,scrapling_instagram_profile,2026-04-12T18:06:14.455042,,False,positive,0.8235,0.0,
