platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,CHFZAb6JGT5_c0,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.9056,0.0,
instagram,comment,CHFZAb6JGT5_c1,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.425,0.0,
instagram,comment,CHFZAb6JGT5_c2,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.428,0.0,
instagram,comment,CHFZAb6JGT5_c3,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.485,0.0,
instagram,comment,CHFZAb6JGT5_c4,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.5443,0.0,
instagram,comment,CHFZAb6JGT5_c5,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4202,0.0,
instagram,comment,CHFZAb6JGT5_c6,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4321,0.0,
instagram,comment,CHFZAb6JGT5_c7,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.5725,0.0,
instagram,comment,CHFZAb6JGT5_c8,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4,0.0,
instagram,comment,CHFZAb6JGT5_c9,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.3784,0.0,
instagram,comment,CHFZAb6JGT5_c10,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,negative,0.3877,0.0,
instagram,comment,CHFZAb6JGT5_c11,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4318,0.0,
instagram,comment,CHFZAb6JGT5_c12,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.858,0.0,
instagram,comment,CHFZAb6JGT5_c13,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Start the conversation.,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.6209,0.0,
instagram,comment,CHFZAb6JGT5_c14,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4742,0.0,
instagram,comment,CHFZAb6JGT5_c15,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4433,0.0,
instagram,comment,CHFZAb6JGT5_c16,CHFZAb6JGT5,https://www.instagram.com/ka_sengottaiyan/p/CHFZAb6JGT5/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:39.849610,,False,neutral,0.4222,0.0,
instagram,comment,CG92_2FFnUG_c0,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4202,0.0,
instagram,comment,CG92_2FFnUG_c1,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.858,0.0,
instagram,comment,CG92_2FFnUG_c2,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4742,0.0,
instagram,comment,CG92_2FFnUG_c3,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4222,0.0,
instagram,comment,CG92_2FFnUG_c4,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.428,0.0,
instagram,comment,CG92_2FFnUG_c5,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.485,0.0,
instagram,comment,CG92_2FFnUG_c6,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4321,0.0,
instagram,comment,CG92_2FFnUG_c7,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.3784,0.0,
instagram,comment,CG92_2FFnUG_c8,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Aduthathu namma aachi thanungoooo❤️❤️,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,positive,0.3957,0.0,
instagram,comment,CG92_2FFnUG_c9,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.425,0.0,
instagram,comment,CG92_2FFnUG_c10,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.5443,0.0,
instagram,comment,CG92_2FFnUG_c11,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.5725,0.0,
instagram,comment,CG92_2FFnUG_c12,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4,0.0,
instagram,comment,CG92_2FFnUG_c13,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4318,0.0,
instagram,comment,CG92_2FFnUG_c14,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.9056,0.0,
instagram,comment,CG92_2FFnUG_c15,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,😭😭😭😭,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,negative,0.5675,0.0,
instagram,comment,CG92_2FFnUG_c16,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,negative,0.3877,0.0,
instagram,comment,CG92_2FFnUG_c17,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4433,0.0,
instagram,comment,CG92_2FFnUG_c18,CG92_2FFnUG,https://www.instagram.com/ka_sengottaiyan/p/CG92_2FFnUG/,unknown,,School open vendam plese,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:44.215932,,False,neutral,0.4974,0.0,
instagram,comment,CG9rG7Ihdil_c0,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.229974,,False,neutral,0.9056,0.0,
instagram,comment,CG9rG7Ihdil_c1,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.425,0.0,
instagram,comment,CG9rG7Ihdil_c2,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.428,0.0,
instagram,comment,CG9rG7Ihdil_c3,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.485,0.0,
instagram,comment,CG9rG7Ihdil_c4,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.5443,0.0,
instagram,comment,CG9rG7Ihdil_c5,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4202,0.0,
instagram,comment,CG9rG7Ihdil_c6,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4321,0.0,
instagram,comment,CG9rG7Ihdil_c7,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.5725,0.0,
instagram,comment,CG9rG7Ihdil_c8,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4,0.0,
instagram,comment,CG9rG7Ihdil_c9,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.3784,0.0,
instagram,comment,CG9rG7Ihdil_c10,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,negative,0.3877,0.0,
instagram,comment,CG9rG7Ihdil_c11,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4318,0.0,
instagram,comment,CG9rG7Ihdil_c12,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.858,0.0,
instagram,comment,CG9rG7Ihdil_c13,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Start the conversation.,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.6209,0.0,
instagram,comment,CG9rG7Ihdil_c14,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4742,0.0,
instagram,comment,CG9rG7Ihdil_c15,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4433,0.0,
instagram,comment,CG9rG7Ihdil_c16,CG9rG7Ihdil,https://www.instagram.com/ka_sengottaiyan/p/CG9rG7Ihdil/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:48.230503,,False,neutral,0.4222,0.0,
instagram,comment,CG9q_KQlpX-_c0,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.9056,0.0,
instagram,comment,CG9q_KQlpX-_c1,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.425,0.0,
instagram,comment,CG9q_KQlpX-_c2,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.428,0.0,
instagram,comment,CG9q_KQlpX-_c3,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.485,0.0,
instagram,comment,CG9q_KQlpX-_c4,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.5443,0.0,
instagram,comment,CG9q_KQlpX-_c5,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4202,0.0,
instagram,comment,CG9q_KQlpX-_c6,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4321,0.0,
instagram,comment,CG9q_KQlpX-_c7,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.5725,0.0,
instagram,comment,CG9q_KQlpX-_c8,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4,0.0,
instagram,comment,CG9q_KQlpX-_c9,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.3784,0.0,
instagram,comment,CG9q_KQlpX-_c10,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,negative,0.3877,0.0,
instagram,comment,CG9q_KQlpX-_c11,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4318,0.0,
instagram,comment,CG9q_KQlpX-_c12,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.858,0.0,
instagram,comment,CG9q_KQlpX-_c13,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Start the conversation.,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.6209,0.0,
instagram,comment,CG9q_KQlpX-_c14,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4742,0.0,
instagram,comment,CG9q_KQlpX-_c15,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4433,0.0,
instagram,comment,CG9q_KQlpX-_c16,CG9q_KQlpX-,https://www.instagram.com/ka_sengottaiyan/p/CG9q_KQlpX-/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:52.613046,,False,neutral,0.4222,0.0,
instagram,comment,CG7NEPgB19R_c0,CG7NEPgB19R,https://www.instagram.com/ka_sengottaiyan/p/CG7NEPgB19R/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:56.571938,,False,neutral,0.9056,0.0,
instagram,comment,CG7NEPgB19R_c1,CG7NEPgB19R,https://www.instagram.com/ka_sengottaiyan/p/CG7NEPgB19R/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:56.571938,,False,neutral,0.425,0.0,
instagram,comment,CG7NEPgB19R_c2,CG7NEPgB19R,https://www.instagram.com/ka_sengottaiyan/p/CG7NEPgB19R/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:56.571938,,False,neutral,0.428,0.0,
instagram,comment,CG7NEPgB19R_c3,CG7NEPgB19R,https://www.instagram.com/ka_sengottaiyan/p/CG7NEPgB19R/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-18T02:41:56.571938,,False,neutral,0.485,0.0,
