platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DWgHoqPEoTM_c0,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,guna2525251,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.487,0.0,
instagram,comment,DWgHoqPEoTM_c1,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,வெற்றி உங்களுக்கு கே 🙏,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.6016,0.0,
instagram,comment,DWgHoqPEoTM_c2,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.3784,0.0,
instagram,comment,DWgHoqPEoTM_c3,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.5725,0.0,
instagram,comment,DWgHoqPEoTM_c4,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,sakxs1978,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.4909,0.0,
instagram,comment,DWgHoqPEoTM_c5,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.5443,0.0,
instagram,comment,DWgHoqPEoTM_c6,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,❤️💙🔥🔥🔥😍⭐👏🇪🇸🙌,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.473,0.0,
instagram,comment,DWgHoqPEoTM_c7,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.4202,0.0,
instagram,comment,DWgHoqPEoTM_c8,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,❤️❤️❤️❤️👏👏👏,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.6342,0.0,
instagram,comment,DWgHoqPEoTM_c9,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,🔥🔥🔥🔥,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.377,0.0,
instagram,comment,DWgHoqPEoTM_c10,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,kevinramachandran,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,neutral,0.4465,0.0,
instagram,comment,DWgHoqPEoTM_c11,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,Vettri namadhe vote for whistle💐🙏💕,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.4437,0.0,
instagram,comment,DWgHoqPEoTM_c12,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,Congratulations sir 🔥,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.7883,0.0,
instagram,comment,DWgHoqPEoTM_c13,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,வெற்றி நிச்சயம் உங்களுக்கு அண்ணா 🔥🔥🔥👏👏👏👏👏,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.4595,0.0,
instagram,comment,DWgHoqPEoTM_c14,DWgHoqPEoTM,https://www.instagram.com/kasengottaiyantvk/p/DWgHoqPEoTM/,unknown,,❤️❤️ செங்கோட்டையன் அய்யா வெற்றி❤️😍🇪🇦💯💯,,,,,,,scrapling_instagram_profile,2026-04-18T03:50:40.341624,,False,positive,0.6124,0.0,
