platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DWqdt-lkxaI,,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,kirthika_shivkumar,,"""தாமரை மலரட்டும் மொடக்குறிச்சி வளரட்டும்!  @narendramodi_pmoindia @murugan_tnbjp @nainar_nagenthran @annamalai_kuppusamy @blsanthoshofficial @vanathibjp @arjunamurthy.ra @bjp4india @bjp4tamilnadu"".",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.3695,0.0,
instagram,post,DW1lfs-E-Av,,https://www.instagram.com/kirthika_shivkumar/reel/DW1lfs-E-Av/,kirthika_shivkumar,,"687 likes, 4 comments - kirthika_shivkumar on April 7, 2026",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:13.597755,,False,neutral,0.6244,0.0,
instagram,post,DW1YdRfCc9m,,https://www.instagram.com/kirthika_4_modakurichi/p/DW1YdRfCc9m/,kirthika_shivkumar,,"""நாளை நமது வெற்றி வேட்பாளர் சி.கிர்த்திகா அவர்களின் தேர்தல் பிரச்சாரம் சுற்றுப்பயண விபரம் - மாலை   @narendramodi @pmoindia @murugan_tnbjp @nainar_nagenthran @annamalai_kuppusamy @blsanthoshofficial @vanathibjp @arjunamurthy.ra @bjp4india @bjp4tamilnadu  #kirthikashivkumar #modakurichi #bjp"".",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:17.642098,,False,neutral,0.5158,0.0,
instagram,post,DW1X4RMCRtf,,https://www.instagram.com/kirthika_4_modakurichi/p/DW1X4RMCRtf/,kirthika_shivkumar,,"""நாளை நமது வெற்றி வேட்பாளர் சி.கிர்த்திகா அவர்களின் தேர்தல் பிரச்சாரம் சுற்றுப்பயண விபரம் - காலை  @narendramodi @pmoindia @murugan_tnbjp @nainar_nagenthran @annamalai_kuppusamy @blsanthoshofficial @vanathibjp @arjunamurthy.ra @bjp4india @bjp4tamilnadu  #kirthikashivkumar #modakurichi #bjp"".",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:21.180460,,False,neutral,0.5085,0.0,
instagram,post,DW1McAWCT4D,,https://www.instagram.com/kirthika_4_modakurichi/p/DW1McAWCT4D/,kirthika_shivkumar,,"""அஇஅதிமுக தலைமையிலான தேசிய ஜனநாயக கூட்டணி நிர்வாகிகளுடன், மொடக்குறிச்சி வெற்றி வேட்பாளர் திருமதி S.கிருத்திகா இன்று காலை அருள்மிகு ஸ்ரீ மாகாளி அம்மன் திருக்கோவிலில் சுவாமி தரிசனம் செய்தார்.  @narendramodi @pmoindia @murugan_tnbjp @nainar_nagenthran @annamalai_kuppusamy @blsanthoshofficial @vanathibjp @arjunamurthy.ra @bjp4india @bjp4tamilnadu"".",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:24.681298,,False,neutral,0.5021,3.0,
instagram,post,DW1EQ6tk4IH,,https://www.instagram.com/kirthika_shivkumar/reel/DW1EQ6tk4IH/,kirthika_shivkumar,,"2,406 likes, 21 comments - kirthika_shivkumar on April 7, 2026",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:28.860855,,False,neutral,0.6267,0.0,
instagram,post,DW09tt5E7_F,,https://www.instagram.com/kirthika_shivkumar/reel/DW09tt5E7_F/,kirthika_shivkumar,,"789 likes, 15 comments - kirthika_shivkumar on April 7, 2026",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:32.740319,,False,neutral,0.6208,0.0,
instagram,post,DW0lKsjE4Aq,,https://www.instagram.com/kirthika_shivkumar/reel/DW0lKsjE4Aq/,kirthika_shivkumar,,"845 likes, 20 comments - kirthika_shivkumar on April 7, 2026",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:36.773586,,False,neutral,0.6102,0.0,
instagram,post,DW0YjY_ExVh,,https://www.instagram.com/kirthika_shivkumar/reel/DW0YjY_ExVh/,kirthika_shivkumar,,"1,259 likes, 19 comments - kirthika_shivkumar on April 6, 2026",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:40.441993,,False,neutral,0.6286,0.0,
instagram,post,DWz3eQjE4To,,https://www.instagram.com/kirthika_shivkumar/p/DWz3eQjE4To/,kirthika_shivkumar,,"""அருள்மிகு நட்டாற்றீஸ்வரர் திருக்கோவில் சுவாமி தரிசனத்தின் போது, இறைவனை தரிசித்த அந்த சில நிமிடங்கள் மனதுக்கு ஒரு அமைதியும் நம்பிக்கையும் கொடுத்தது  @narendramodi_pmoindia @murugan_tnbjp @nainar_nagenthran @annamalai_kuppusamy @blsanthoshofficial @vanathibjp @arjunamurthy.ra @bjp4india @bjp4tamilnadu"".",,,,,,,scrapling_instagram_profile,2026-04-08T02:03:44.312786,,False,neutral,0.4317,0.0,
