platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DWqdt-lkxaI_c0,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,mylsamyjayanthi,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.3742,0.0,
instagram,comment,DWqdt-lkxaI_c1,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.4607,0.0,
instagram,comment,DWqdt-lkxaI_c2,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.9274,0.0,
instagram,comment,DWqdt-lkxaI_c3,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,organicfarmer.plantfood_pso6,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.7466,0.0,
instagram,comment,DWqdt-lkxaI_c4,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,மொடக்குறிச்சி சட்டமன்றத் தொகுதியின் வெற்றி வேட்பாளராக தாமரைச் சின்னத்தில்  போட்டியிடக்கூடிய மரியாதைக்குரிய ,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.5544,0.0,
instagram,comment,DWqdt-lkxaI_c5,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,negative,0.3923,0.0,
instagram,comment,DWqdt-lkxaI_c6,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Congratulations ✨,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.9265,0.0,
instagram,comment,DWqdt-lkxaI_c7,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.4005,0.0,
instagram,comment,DWqdt-lkxaI_c8,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Congratulations 💐,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.9138,0.0,
instagram,comment,DWqdt-lkxaI_c9,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Best wishes mam ❤️,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.8885,0.0,
instagram,comment,DWqdt-lkxaI_c10,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.6687,0.0,
instagram,comment,DWqdt-lkxaI_c11,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.5378,0.0,
instagram,comment,DWqdt-lkxaI_c12,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,soundarswt,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.3954,0.0,
instagram,comment,DWqdt-lkxaI_c13,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.6627,0.0,
instagram,comment,DWqdt-lkxaI_c14,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,👏👏👏👏,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.5907,0.0,
instagram,comment,DWqdt-lkxaI_c15,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,வாழ்த்துக்கள்,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.5161,0.0,
instagram,comment,DWqdt-lkxaI_c16,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,ananyavishwesh,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,negative,0.3806,0.0,
instagram,comment,DWqdt-lkxaI_c17,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,gunasekar_sri,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.3585,0.0,
instagram,comment,DWqdt-lkxaI_c18,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,😍😍😍😍 best wishes ma’am,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.9005,0.0,
instagram,comment,DWqdt-lkxaI_c19,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,jyothimani.r,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.4018,0.0,
instagram,comment,DWqdt-lkxaI_c20,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.4516,0.0,
instagram,comment,DWqdt-lkxaI_c21,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,krithikagoldking,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.396,0.0,
instagram,comment,DWqdt-lkxaI_c22,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,vaarunichandru,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,negative,0.3606,0.0,
instagram,comment,DWqdt-lkxaI_c23,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,வாழ்த்துக்கள்.,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.7327,0.0,
instagram,comment,DWqdt-lkxaI_c24,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,ak_arun_i,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.4647,0.0,
instagram,comment,DWqdt-lkxaI_c25,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Congratulations mam...😍,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.9239,0.0,
instagram,comment,DWqdt-lkxaI_c26,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,This reel has ,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.4342,0.0,
instagram,comment,DWqdt-lkxaI_c27,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,👏👏👏👏👏,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.6028,0.0,
instagram,comment,DWqdt-lkxaI_c28,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.5217,0.0,
instagram,comment,DWqdt-lkxaI_c29,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,👌congrats🎉,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,positive,0.9101,0.0,
instagram,comment,DWqdt-lkxaI_c30,DWqdt-lkxaI,https://www.instagram.com/kirthika_shivkumar/reel/DWqdt-lkxaI/,unknown,,menaka_ashwanth,,,,,,,scrapling_instagram_profile,2026-04-08T02:03:09.571999,,False,neutral,0.393,0.0,
