platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DW0qUOPEbOp,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DW0qUOPEbOp/,m.sugumar_nagai_offl,,"""நாகையின் வெற்றி வேட்பாளர் அண்ணன் மா.சுகுமார் அவர்கள் நாகப்பட்டினம் இசுலாமிய ஜமாஅத்  சமுதாயத்தினரிடம் வாக்கு சேகரிப்பில் ஈடுபட்டார்.  நல்லதே நடக்கும்! வெற்றி நிச்சயம் 💯   வாக்களிபீர் விசில் சின்னத்திற்கு #tvkvijayofficial #tvknagapattinam #tvk #tvkforever❤️💛❤ #nagapattinam_district"".",1307,,,,,12,scrapling_instagram_profile,2026-04-14T01:34:00.631254,,False,neutral,0.5336,3.0,
instagram,post,DWySyHfkSY0,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWySyHfkSY0/,m.sugumar_nagai_offl,,"""#tvknagapattinam #tvkvijayofficial #tvk #tvkforever❤️💛❤ #nagapattinam_district"".",2524,,,,,18,scrapling_instagram_profile,2026-04-14T01:34:05.867247,,False,neutral,0.4885,3.0,
instagram,post,DWxoxo6EYmz,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWxoxo6EYmz/,m.sugumar_nagai_offl,,"""நாகையின் வெற்றி வேட்பாளர் அண்ணன் மா சுகுமார் அவர்கள் திருமருகல் தென்மேற்கு ஒன்றியம் , கங்காளஞ்சேரி ஊராட்சிக்கு உட்பட்ட பகுதிகளில்  வாக்கு சேகரிப்பில் ஈடுபட்டார்   நல்லதே நடக்கும்! வெற்றி நிச்சயம் 💯   வாக்களிபீர் விசில் சின்னத்திற்கு #nagapattinam_district #tvkforever❤️💛❤ #eleaction2026 #tvknagapattinam tvknagai"".",1568,,,,,25,scrapling_instagram_profile,2026-04-14T01:34:10.958966,,False,neutral,0.6093,3.0,
instagram,post,DWtuRl-kSeV,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWtuRl-kSeV/,m.sugumar_nagai_offl,,"""தளபதி தலைமையில் பொற்கால ஆட்சி அமைந்திட* ஏதுவாக *தளபதி அவர்களால்* நாகப்பட்டினம் சட்டமன்றத் தொகுதிக்கு  வெற்றி வேட்பாளராக அறிவிக்கப்பட்ட நம் பாசமிகு அண்ணன்  *மா.சுகுமார்* அவர்கள்   இன்று[ 23-04-2026 ] நடைபெற இருக்கும் சட்டமன்றத் தேர்தலுக்கான வேட்பு மனுவை *மாவட்ட தேர்தல் அலுவலர்* அவர்களிடம் தாக்கல் செய்தார்.  #élection #tvkvijayofficial #tvknagapattinam #tvk #tvkforever❤️💛❤"".",1952,,,,,8,scrapling_instagram_profile,2026-04-14T01:34:15.323112,,False,neutral,0.5821,3.0,
instagram,post,DWq7AK3EVQR,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWq7AK3EVQR/,m.sugumar_nagai_offl,,"""நாகையின் வெற்றி வேட்பாளர் அண்ணன் மா சுகுமார் அவர்கள் நாகப்பட்டினம் கோகுலம் ஆட்டோ மற்றும் உரிமையாளர் சங்கத்தினை சந்தித்து வாக்கு சேகரித்தார் #tvkvijayofficial #tvknagapattinam #tvkforever❤️💛❤ #nagapattinam_district #nagapattinam"".",6722,,,,,33,scrapling_instagram_profile,2026-04-14T01:34:20.195009,,False,neutral,0.6776,3.0,
instagram,post,DWqUBG1ESZZ,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWqUBG1ESZZ/,m.sugumar_nagai_offl,,"""நாகையின் வெற்றி வேட்பாளர் அண்ணன் மா. சுகுமார் அவர்கள்  இஸ்லாமிய சொந்தங்களின் பேராதரவுடன் வாக்கு சேகரித்தார்❤️💛❤️💛 @m.sugumar_nagai_offl  #nagoor #tvkvijayofficial #tvknagapattinam #nagoordargah #tvkforever❤️💛❤"".",1243,,,,,12,scrapling_instagram_profile,2026-04-14T01:34:24.808034,,False,neutral,0.4448,3.0,
instagram,post,DWo7285kpIc,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWo7285kpIc/,m.sugumar_nagai_offl,,"""மக்களுக்காக ஓய்வு இல்லாமல் உழைப்பேன் @m.sugumar_nagai_offl  #tvkvijayofficial #tvknagapattinam #tvk #tvkforever❤️💛❤ #nagapattinam_district"".",5931,,,,,30,scrapling_instagram_profile,2026-04-14T01:34:29.373160,,False,neutral,0.4637,3.0,
instagram,post,DWoaGXeEaqb,,https://www.instagram.com/m.sugumar_nagai_offl/p/DWoaGXeEaqb/,m.sugumar_nagai_offl,,"""நாகை மக்கள் விரும்பும் வேட்பாளர் @m.sugumar_nagai_offl  #tvk #tvkthalapathy_2026_❤️🔥 #tvknagapattinam #tvkvijayofficial #tvkvijayhq"".",4492,,,,,50,scrapling_instagram_profile,2026-04-14T01:34:39.935743,,False,neutral,0.4989,3.0,
instagram,post,DWmMCxCElY1,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWmMCxCElY1/,m.sugumar_nagai_offl,,"""தமிழக வெற்றிக் கழக நாகை சட்ட மன்ற தொகுதியின் வெற்றி வேட்பாளர் அண்ணன் மா.சுகுமார் அவர்கள் எதிர்வரும் சட்ட மன்ற தேர்தலில் வெற்றி பெற வேண்டி இன்று உலக பிரசித்தி பெற்ற வேளாங்கண்ணி புனித ஆரோக்கிய அன்னை பேராலயத்தில் மெழுகுதிரி ஏந்தி பிரார்த்தனையில் ஈடுபட்டார்.#velakanni #tvknagapattinam #tvkforever❤️💛❤ #nagapattinam_district #tvk"".",33000,,,,,188,scrapling_instagram_profile,2026-04-14T01:34:47.108464,,False,neutral,0.4851,3.0,
instagram,post,DWlX950Efle,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWlX950Efle/,m.sugumar_nagai_offl,,"""#nagapattinam #tvkvijayofficial #nagapattinam_district #tvkforever❤️💛❤ #tvknagapattinam"".",2887,,,,,26,scrapling_instagram_profile,2026-04-14T01:34:53.087396,,False,neutral,0.4885,3.0,
instagram,post,DWdnHxjkSha,,https://www.instagram.com/m.sugumar_nagai_offl/reel/DWdnHxjkSha/,m.sugumar_nagai_offl,,"""என்னை நாகப்பட்டினம் தொகுதி வேட்பாளராக அறிவித்த  வெற்றித் தலைவர் தளபதி விஜய் அவர்களும்  கழக பொதுசெயலாளர் N. ஆனந்த அவர்களும் நன்றி! நன்றி!! நன்றி!!! #tvkvijayofficial #tvk #tvknagapattinam #tvkforever❤️💛❤ #nagapattinam_district"".",42000,,,,,317,scrapling_instagram_profile,2026-04-14T01:34:57.866228,,False,positive,0.6085,3.0,
