platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DMCWfcLSmye,,https://www.instagram.com/madathukulam_tvk_offical/p/DMCWfcLSmye/,madathukulam_tvk_offical,,"""ஓரணியில் தமிழ்நாடு ❌  விஜயணியில் தமிழ்நாடு✅  #DMKSocialinjusticeGovt #tndemandsjustice   #tvk #tvkvijay #tvkofficial #tvkfortn #tvkthalapathy_2026_❤️🔥 #dmkfails #trending #insta #vijayfanforever❤️ #tvkvirtualwarriors"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:07.867201,,False,neutral,0.498,3.0,
instagram,post,DL6nZozyuSe,,https://www.instagram.com/madathukulam_tvk_offical/p/DL6nZozyuSe/,madathukulam_tvk_offical,,"""❤️💥🙏 @actorvijay @tvkvijayhq @bussyanandoffl   #tvk #tamilagavettrikazhagam #vijay #tvkvijay #tvkofficial #tvkfortn #tvkvirtualwarriors"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:16.375647,,False,neutral,0.4217,3.0,
instagram,post,DL6d1Guygz1,,https://www.instagram.com/madathukulam_tvk_offical/reel/DL6d1Guygz1/,madathukulam_tvk_offical,,"""Voice of Common  *TVK WAR ROOM* 💥✨⚡  @actorvijay @tvkpartyhq @bussyanandoffl @aadhavarjuna  #tamilagavettrikazhagam #tvk #tvkvijay #vijay #tvkfortn #tvkofficial #thalapathyvijay #tvkofficial #trending #tiruppursouth #tiruppur #madathukulam  #election #2026cmvijay❤️💛❤️  #instagram #insights #instagood #reach  #tamilnadu #trendingtop #views #likeme #viralhashtags"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:20.555250,,False,positive,0.3825,3.0,
instagram,post,DL36B2fyeu8,,https://www.instagram.com/madathukulam_tvk_offical/p/DL36B2fyeu8/,madathukulam_tvk_offical,,"""நாளை நமதே 💥❤️  @actorvijay  @tvkpartyhq @bussyanandoffl   #tvk #tamilagavettrikazhagam #tvkvijay #tvkofficial #tvkfortn #tvkvirtualwarriors  #reelsgrowth #trendingtop #explore #ɪɴsᴛᴀʀᴇᴇʟ #reach #views #likeme #viralhashtags"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:24.361751,,False,neutral,0.4297,3.0,
instagram,post,DL2cHKZy6dM,,https://www.instagram.com/madathukulam_tvk_offical/p/DL2cHKZy6dM/,madathukulam_tvk_offical,,"""தனி ஒரு மனிதனின் படை... 💥❤️ மக்கள் முதல்வர் @actorvijay @tvkpartyhq  @bussyanandoffl   #tamilagavettrikazhagam #tvk #tvkvijay  #tvkvirtualwarriors #tvkofficial #tvkfortn  #tiruppurdistrict #tiruppur #trending #viral"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:28.399836,,False,neutral,0.4944,3.0,
instagram,post,DLukHyySqgY,,https://www.instagram.com/madathukulam_tvk_offical/reel/DLukHyySqgY/,madathukulam_tvk_offical,,"""வளமான எதிர்காலத்திற்கான, நமது கழகத்தின் வெற்றித் தீர்மானங்கள்.👏❤️💥  #மக்கள் முதல்வர் ❤️  @tvkpartyhq @actorvijay @bussyanandoffl  #என்றும்_மக்களுடன்_விஜய் #tvk #tvkvijay #tvkfortn #tamilagavettrikazhagam  #tvkvirtualwarriors #vijay #thalapathyvijay  #trending #viralreels #tiruppursouth #tiruppur  #madathukulam #tamilnadu #tamil #2026cmvijay❤️💛❤️"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:32.607486,,False,positive,0.4326,3.0,
instagram,post,DLrwAmOSkQ7,,https://www.instagram.com/madathukulam_tvk_offical/reel/DLrwAmOSkQ7/,madathukulam_tvk_offical,,"""CM சார் @mkstalin உங்களுக்கு ஜீவானந்தம் வேணுமா இல்ல  கத்தி என்கிற கதிரேசன் வேணூமானு முடிவு பண்ணிக்கோங்க...💥  @actorvijay @bussyanandoffl @tvkvijayhq   # என்றும்_மக்களுடன்_விஜய்❤️  #tvk #tvkvijay #tvkvirtualwarriors #tamilagavettrikazhagam #vijay #thalapathyvijay #tvkfortn #tvkofficial #trending #viralreels #tiruppursouth #tiruppur #madathukulam #tamilnadu #cm"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:36.377976,,False,neutral,0.418,3.0,
instagram,post,DLroi5sSYwU,,https://www.instagram.com/madathukulam_tvk_offical/p/DLroi5sSYwU/,madathukulam_tvk_offical,,"""❤️‍🔥⏳💥2026  #tvk #tamilagavettrikazhagam #tvkfortn #tvkvijay #tvkofficial #tiruppurdistrict #tiruppursouth #madathukulam"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:40.113377,,False,neutral,0.46,3.0,
instagram,post,DLrikj-y7RF,,https://www.instagram.com/madathukulam_tvk_offical/p/DLrikj-y7RF/,madathukulam_tvk_offical,,"""இனிமேல் தான் கதையை ஆரம்பம்.... 💥💥❤️  #tvk #tamilagavettrikazhagam #tvkvijay #tvkofficial #tvkthalapathy_2026_❤️🔥 #tvkfortn #tiruppurdistrict #tiruppursouth #cm"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:43.757297,,False,neutral,0.4303,3.0,
instagram,post,DLpbxoLy12h,,https://www.instagram.com/madathukulam_tvk_offical/reel/DLpbxoLy12h/,madathukulam_tvk_offical,,"""மக்களுக்கான முதல்வர்... 2️⃣0️⃣2️⃣6️⃣ ❤️💛❤️ @actorvijay  @tvkpartyhq  @bussyanandoffl   #என்றும்_மக்களுடன்_விஜய்🫂❤️   அன்றும் இன்றும் என்றும் தளபதி வழியில்.... 🥹❤️✨ தமிழக வெற்றி கழகம்  மடத்துக்குளம் வடக்கு ஒன்றியம்  திருப்பூர் தெற்கு மாவட்டம்   #tvk #tvkvijay #tamilagavettrikazhagam #thalapathyvijay #tvkfortn #trending #vijay #viralreels #tiruppursouth #tiruppur #tamilnadu"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:00:47.926312,,False,neutral,0.4969,3.0,
