platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DC8OElcpgbs,,https://www.instagram.com/msmanandan/p/DC8OElcpgbs/,msmanandan,,"7 likes, 0 comments - msmanandan on November 28, 2024",7,,,,,0,scrapling_instagram_profile,2026-04-15T02:33:41.434757,,False,neutral,0.7044,0.0,
instagram,post,DC6brZbJ-B9,,https://www.instagram.com/msmanandan/p/DC6brZbJ-B9/,msmanandan,,"10 likes, 0 comments - msmanandan on November 28, 2024",10,,,,,0,scrapling_instagram_profile,2026-04-15T02:33:45.014887,,False,neutral,0.6889,0.0,
instagram,post,DC6YF9bJrwh,,https://www.instagram.com/msmanandan/p/DC6YF9bJrwh/,msmanandan,,"""IDPL திட்டத்தின் மூலம் விளைநிலங்களில் பெட்ரோலிய பைப்புகளை கொண்டு செல்லும் திட்டத்தை உடனடியாக நிறுத்தி 2013 ஆம் ஆண்டு இதயம் புரட்சித்தலைவி அம்மா அவர்கள் அதனை தொடர்ந்து எடப்பாடி யார் அவர்கள் எப்படி விளைநிலங்களில் பெட்ரோல் குழாயோ எரிவாயு குழாயோ  செல்லாதவாறு காத்தார்களோ    அதேபோல  இப்போது பல்லடம் சுற்றுவட்டார பகுதி விவசாயிகளுக்கு ஏற்பட்டிருக்கும் இந்த அபாயத்தை, விவசாயிகளின் கவலையை மனுவாக திருப்பூர் மாவட்ட ஆட்சித் தலைவர்  இடத்தில்  கழக அமைப்புச் செயலாளர் முன்னாள் அமைச்சர் பல்லடம் சட்டமன்ற உறுப்பினர் எம் எஸ் எம் ஆனந்தன் அவர்கள் வழங்கினார் .    இத்திட்டத்தை மாற்று வழியாக  நெடுஞ்சாலைகளின் மூலமாக கொண்டு செல்லுமாறு மத்திய மாநில அரசுகளை வலியுறுத்தினார்.    விவசாயிகளின்  கோரிக்கையை மாவட்ட ஆட்சித்தலைவரிடம் எடுத்துச் சொன்ன போது சம்பந்தப்பட்ட நிறுவனத்தை அழைத்துப் பேசுவதாக மாவட்ட ஆட்சி தலைவர் தெரிவித்துள்ளார்.   அதிமுக வும் பல்லடம் சட்டமன்ற உறுப்பினர் என்ற முறையில் நானும் என்றும் விவசாயிகளுக்கு துணையாக நிற்போம் என்று உறுதியளித்தார்.   உடன் பொங்கலூர் மேற்கு ஒன்றிய கழக செயலாளர் யு.எஸ்.பழனிசாமி பொங்கலூர் கிழக்கு ஒன்றிய செயலாளர் காட்டூர் சிவப்பிரகாஷ், பல்லடம் நகரக் கழக செயலாளர் ராமமூர்த்தி, வீரபாண்டி கிழக்கு பகுதிகளாக செயலாளர் சுரேந்திரன், தகவல் தொழில்நுட்ப பிரிவு மாவட்ட செயலாளர் வி எம் கோகுல், மாவட்ட பேரவை இணை செயலாளர் சிவசுப்பிரமணியம், பல்லடம் பானு.பழனிச்சாமி, முதலிபாளையம் ஊராட்சி மன்ற தலைவர் மயூரி பிரியா நடராஜன் உள்ளிட்ட கழக நிர்வாகிகள் விவசாயிகள் கலந்து கொண்டனர்"".",22,,,,,0,scrapling_instagram_profile,2026-04-15T02:33:48.702669,,False,neutral,0.5807,3.0,
instagram,post,DC6Gl0gJ4Db,,https://www.instagram.com/msmanandan/p/DC6Gl0gJ4Db/,msmanandan,,"""மக்களை வாட்டி வதைக்கும் விதமாக கடுமையான சொத்து வரி குடிநீர் கட்டணம் தொழில் வரியை உயர்த்திய இந்த விடியா திமுக அரசை எதிர்த்து திருப்பூர் மாநகராட்சி மாமன்றத்தில்   பொதுமக்களின் சிரமத்தை குறைக்கும் விதமாக சொத்து வரி குடிநீர் கட்டணம் தொழில் வரியை உயர்வை ரத்து செய்ய வேண்டும் என்று தர்ணாவில் ஈடுபட்ட  அதிமுக மாமன்ற உறுப்பினர்களை சர்வாதிகார போக்குடன்  இந்த விடியா திமுக அரசு கைது செய்துள்ளது.   மண்டபத்தில் அழைக்கப்பட்டுள்ள மா மன்ற உறுப்பினர்களை சந்தித்து உரையாடினேன்.   அடுத்து அமையவிருக்கும் எடப்பாடி யார் தலைமையிலான அதிமுக அரசு நிச்சயமாக இந்த வரி உயர்வு திரும்ப பெற்று மக்களின் அரசாக திகழும் என்பதை தெரிவித்துக் கொள்கிறேன்."".",24,,,,,0,scrapling_instagram_profile,2026-04-15T02:33:52.397352,,False,neutral,0.5238,3.0,
instagram,post,DC54KovJmYf,,https://www.instagram.com/msmanandan/p/DC54KovJmYf/,msmanandan,,"""இன்று பிறந்தநாள் காணும் திருப்பூர் தொழில் சர்வதேச அளவு வளர்ந்ததற்கு மிகவும் காரணமாக இருந்த பனியன் தொழில் பிதாமகர் அண்ணன் பாபிஸ்.சக்திவேல் அவர்களுக்கு எனது உள்ளம் நிறைந்த பிறந்தநாள் நல்வாழ்த்துக்கள் தெரிவித்துக் கொள்கிறேன்.   திருப்பூர் தொழிலும் தொழில் முனைவோர்களும் இன்னும் பல வீரங்களை அடைய அவரின் வழிகாட்டுதலும் பணிகளும் மென்மேலும் தொடர இறைவனை பிரார்த்திக்கின்றேன்"".",12,,,,,0,scrapling_instagram_profile,2026-04-15T02:33:56.224015,,False,positive,0.6081,3.0,
instagram,post,C_XTOzApev-,,https://www.instagram.com/msmanandan/p/C_XTOzApev-/,msmanandan,,"22 likes, 0 comments - msmanandan on August 31, 2024",22,,,,,0,scrapling_instagram_profile,2026-04-15T02:33:59.677220,,False,neutral,0.7166,0.0,
instagram,post,C9J-Xmxpire,,https://www.instagram.com/msmanandan/p/C9J-Xmxpire/,msmanandan,,"""திருமண நாள் காணும்  என் மீதும் எனது குடும்பத்தினர் மீதும் மிகுந்த அன்பு கொண்ட   அன்பு அண்ணன் மோகன் கார்த்திக் அவர்களுக்கும்  அண்ணி வினோதினி அவர்களுக்கும் எனது இனிய திருமண நாள் நல்வாழ்த்துக்கள் தெரிவித்து கொள்கின்றேன்   தாம்பதிகள் மற்றவர்களுக்கு எப்படி எடுத்துக்காட்டாய் இருக்க வேண்டும் என்பதற்கு உதாரணம் அண்ணன் மற்றும் அண்ணி மேலும் பல சிறப்புகள் பெற பிராத்திக்கின்றேன்"".",18,,,,,0,scrapling_instagram_profile,2026-04-15T02:34:03.189982,,False,positive,0.4342,0.0,
instagram,post,C6SuNppJrJH,,https://www.instagram.com/msmanandan/p/C6SuNppJrJH/,msmanandan,,"9 likes, 0 comments - msmanandan on April 27, 2024",9,,,,,0,scrapling_instagram_profile,2026-04-15T02:34:06.799886,,False,neutral,0.6907,0.0,
instagram,post,C6SuMWbJB6Y,,https://www.instagram.com/msmanandan/p/C6SuMWbJB6Y/,msmanandan,,"10 likes, 0 comments - msmanandan on April 27, 2024",10,,,,,0,scrapling_instagram_profile,2026-04-15T02:34:10.219690,,False,neutral,0.6681,0.0,
instagram,post,C56Kj4Ovokm,,https://www.instagram.com/msmanandan/p/C56Kj4Ovokm/,msmanandan,,"14 likes, 0 comments - msmanandan on April 18, 2024",14,,,,,0,scrapling_instagram_profile,2026-04-15T02:34:13.806865,,False,neutral,0.7099,0.0,
