platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DWdQScdkkKX,,https://www.instagram.com/namma_nallasivam/reel/DWdQScdkkKX/,namma_nallasivam,,"""நான் உங்கள் நல்லசிவம், கழக தலைவர் @mkstalin அவர்கள் அறிவித்த கோபி தொகுதி வேட்பாளர்!   வாக்களிப்பீர் உதயசூரியன்!  #VoteforDMK #gobichettipalayam #NammaNallasivam"".",551,,,,,14,scrapling_instagram_profile,2026-04-18T03:06:12.540480,,False,neutral,0.4878,3.0,
instagram,post,DRi1OfuCH7V,,https://www.instagram.com/namma_nallasivam/p/DRi1OfuCH7V/,namma_nallasivam,,"""முத்தமிழ் அறிஞரின் மறு உருவம், மாண்புமிகு தமிழ்நாடு முதலமைச்சர் @mkstalin அவர்களின் அரசியல் உதயம், தமிழ்நாட்டின் பகுத்தறிவு ஒளிக்கதிர் கழக இளைஞரணி செயலாளர், மாண்புமிகு தமிழ்நாடு துணை முதலமைச்சர் @udhay_stalin அவர்களை நேரில் சந்தித்து வாழ்த்திய மகிழ்ச்சியான தருணம்.  பிறந்தநாள் வாழ்த்துகள் இளந்தலைவரே.!  #HBDUdhay"".",631,,,,,5,scrapling_instagram_profile,2026-04-18T03:06:18.170879,,False,positive,0.6151,3.0,
instagram,post,DQBHPpJkn3G,,https://www.instagram.com/namma_nallasivam/p/DQBHPpJkn3G/,namma_nallasivam,,"""எங்கள் குடும்ப தலைவரிடம் ஆசி பெற்றபோது!"".",344,,,,,6,scrapling_instagram_profile,2026-04-18T03:06:22.802725,,False,neutral,0.6125,0.0,
instagram,post,DXPtJgHkovJ,,https://www.instagram.com/namma_nallasivam/p/DXPtJgHkovJ/,namma_nallasivam,,"""வெற்றியை நோக்கி... மாண்புமிகு தமிழ்நாடு முதலமைச்சர் கழகத் தலைவர் @mkstalin அவர்களின் ஆசியுடன்!  கோபிசெட்டிப்பாளையம் சட்டமன்றத் தொகுதியின் மதச்சார்பற்ற முற்போக்கு கூட்டணியின் வேட்பாளராக இன்று தொகுதிக்குட்பட்ட கோபிசெட்டிபாளையம் தாழ்குனி , கெட்டிக்செவியூர் ஆகிய பகுதிகளில் பொதுமக்களிடம் தேர்தல் பிரச்சாரம் செய்தார்.  #ஸ்டாலின்_தொடரட்டும் #நம்ம_நல்லசிவம்"".",3,,,,,0,scrapling_instagram_profile,2026-04-18T03:06:28.146128,,False,neutral,0.5626,3.0,
instagram,post,DXPsY0zEqVB,,https://www.instagram.com/namma_nallasivam/p/DXPsY0zEqVB/,namma_nallasivam,,"""வெற்றியை நோக்கி... மாண்புமிகு தமிழ்நாடு முதலமைச்சர் கழகத் தலைவர் @mkstalin அவர்களின் ஆசியுடன்!  கோபிசெட்டிப்பாளையம் சட்டமன்றத் தொகுதியின் மதச்சார்பற்ற முற்போக்கு கூட்டணியின் வேட்பாளராக இன்று தொகுதிக்குட்பட்ட கோபிசெட்டிபாளையம் மெயின்ரோடு பகுதியில் அமைந்துள்ள மஸ்ஜித் ஏஹ் கபிர் சுன்னத் வல் ஜமாத் பள்ளிவாசலில் வெள்ளிக்கிழமை சிறப்பு தொழுகைக்கு பின் இஸ்லாமிய சகோதரர்கள் மற்றும் பள்ளிவாசல் ஜமாத் நிர்வாகிகளிடம் நேரில் சந்தித்து வாக்கு சேகரித்தார்.  #ஸ்டாலின்_தொடரட்டும் #நம்ம_நல்லசிவம்"".",4,,,,,0,scrapling_instagram_profile,2026-04-18T03:06:32.408099,,False,neutral,0.6565,3.0,
instagram,post,DXPsJ5ykr-r,,https://www.instagram.com/namma_nallasivam/p/DXPsJ5ykr-r/,namma_nallasivam,,"""வெற்றியை நோக்கி... மாண்புமிகு தமிழ்நாடு முதலமைச்சர் கழகத் தலைவர் @mkstalin அவர்களின் ஆசியுடன்!  கோபிசெட்டிப்பாளையம் சட்டமன்றத் தொகுதியின் மதச்சார்பற்ற முற்போக்கு கூட்டணியின் வேட்பாளராக இன்று தொகுதிக்குட்பட்ட கோபிசெட்டிபாளையம் நம்பியூர் பேரூர் பகுதிகளில் பொதுமக்களிடம் தேர்தல் பிரச்சாரம் செய்த போது.  #ஸ்டாலின்_தொடரட்டும்"".",1,,,,,0,scrapling_instagram_profile,2026-04-18T03:06:36.680145,,False,neutral,0.6044,3.0,
instagram,post,DXPr5w-EhX4,,https://www.instagram.com/namma_nallasivam/p/DXPr5w-EhX4/,namma_nallasivam,,"""வெற்றியை நோக்கி... மாண்புமிகு தமிழ்நாடு முதலமைச்சர் கழகத் தலைவர் @mkstalin அவர்களின் ஆசியுடன்!  கோபிசெட்டிப்பாளையம் சட்டமன்றத் தொகுதியின் மதச்சார்பற்ற முற்போக்கு கூட்டணியின் வேட்பாளராக இன்று தொகுதிக்குட்பட்ட கோபிசெட்டிபாளையம் நம்பியூர், எலத்தூர் பேரூர் பகுதிகளில் பொதுமக்களிடம் தேர்தல் பிரச்சாரம் செய்தார்.  #ஸ்டாலின்_தொடரட்டும் #நம்ம_நல்லசிவம்"".",8,,,,,0,scrapling_instagram_profile,2026-04-18T03:06:40.750682,,False,neutral,0.6008,3.0,
instagram,post,DXO1ImvEjzn,,https://www.instagram.com/namma_nallasivam/reel/DXO1ImvEjzn/,namma_nallasivam,,"""வெல்வோம் ஒன்றாக!  எத்தனை படைகள் எதிர்த்து வந்தாலும் தமிழ்நாட்டின் மண் மொழி - மானம் காத்து   #வெல்வோம்_ஒன்றாக!  #ஸ்டாலின்_தொடரட்டும்  #நம்ம நல்லசிவம்  [Gobichettipalayam - Gobichettipalayam Election Nallasivam - VoteForNallasivam - DMK - Tamilnadu Politics - Election2026 - GobichettipalayamPeople ]"".",,,,,,,scrapling_instagram_profile,2026-04-18T03:06:45.117456,,False,neutral,0.4605,3.0,
instagram,post,DXONfYdEpEY,,https://www.instagram.com/namma_nallasivam/reel/DXONfYdEpEY/,namma_nallasivam,,"""தீ பரவட்டும்!  இன்று கோபிசெட்டிபாளையம் சட்டமன்ற தொகுதியில் திமுக கொள்கைப்பரப்பு செயலாளர், தமிழ்நாடு பாடநூல் மற்றும் கல்வியியல் பணிகள் வாரியத்தலைவர் திரு. திண்டுக்கல் ஐ. லியோனி அவர்களுடன் இணைந்து டி.ஜி.புதூர் நால்ரோடு அருகில் தொகுதி மறுவரையறை மசோதாவை எதிர்த்து கருப்பு சட்டை அணிந்து ஒன்றிய அரசுக்கு எதிராக தீர்மான நகலை எரித்து, கண்டன முழக்கங்களை எழுப்பினோம்.  #TNvsNDA  #வெல்வோம்_ஒன்றாக!  #ஸ்டாலின்_தொடரட்டும்  #நம்ம நல்லசிவம்  [Gobichettipalayam - Gobichettipalayam Election Nallasivam - VoteForNallasivam - DMK - Tamilnadu Politics - Election2026 - GobichettipalayamPeople ]"".",,,,,,,scrapling_instagram_profile,2026-04-18T03:06:49.532051,,False,neutral,0.5502,3.0,
instagram,post,DXN0H-IiOWW,,https://www.instagram.com/namma_nallasivam/p/DXN0H-IiOWW/,namma_nallasivam,,"""மாவீரர் தீரன் சின்னமலை அவர்களின் 271 வது பிறந்த நாளை முன்னிட்டு ஈரோடு வடக்கு மாவட்ட கழக அலுவலகத்தில் கோபிசெட்டிபாளையம் தொகுதியின்  வேட்பாளராக மாவீரர் திருஉருவ படத்திற்கு மலர் தூவி மரியாதை செலுத்தி  இனிப்புகள் வழங்கினேன்.  இந்நிகழ்வில் மாவட்ட கழக நிர்வாகிகள் உடன் இருந்தனர்.  #ஸ்டாலின்_தொடரட்டும் #நம்ம_நல்லசிவம் #erode #gobichettipalayam"".",47,,,,,0,scrapling_instagram_profile,2026-04-18T03:06:53.538677,,False,neutral,0.6267,3.0,
