platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DVnMNe8kVf9,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVnMNe8kVf9/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla  Thank you sir 💫❣️ @tup_selvaraj  #tiruppurtherku_selvaraj #mkstalin #instamood #tiruppur #dmk🖤❤️"".",65,,,,,0,scrapling_instagram_profile,2026-04-15T02:43:16.058617,,False,positive,0.6697,3.0,
instagram,post,DVmw1oOjy0f,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVmw1oOjy0f/,namma_palladam_dmk_selvaraj,,"""Thank you sir 💫 @tup_selvaraj  #tiruppurtherku_selvaraj #mkstalin #trending #mlaselvaraj #instamood"".",229,,,,,1,scrapling_instagram_profile,2026-04-15T02:43:19.964197,,False,positive,0.7045,3.0,
instagram,post,DVlk3mrj-Ne,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVlk3mrj-Ne/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla  thank you sir 💫 @tup_selvaraj  #tiruppurtherku_selvaraj #dmk🖤❤️ #trending"".",157,,,,,2,scrapling_instagram_profile,2026-04-15T02:43:23.959444,,False,positive,0.77,3.0,
instagram,post,DVlUkG4ESIs,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVlUkG4ESIs/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla இனமானம் காத்திட்ட  கழகத்தின் அறிவுப் பெட்டகம், #பேராசிரியர் பெருந்தகை அவர்களின் நினைவு தினத்தையொட்டி, இன்று  07:03:2026  நமது திருப்பூர் மத்திய மாவட்ட கழகத்தின் சார்பில், மாவட்ட கழக அலுவலகத்தில் உள்ள முரசொலிமாறன் வளாகத்தில் இனமானப் பேராசிரியர் அவர்களின் திருஉருவப் படத்திற்கு கழக நிர்வாகிகளுடன் மலர் தூவி மரியாதை செய்திட்ட நிகழ்வில்.  உடன்பிறப்புகளின் முன்னோடியாம் நம் தத்துவப் பேராசானின் புகழை எந்நாளும் போற்றுவோம்...!🙏  @mkstalin @udhay_stalin  #cmmkstalin @tup_selvaraj #dmk🖤❤️"".",619,,,,,3,scrapling_instagram_profile,2026-04-15T02:43:27.800696,,False,neutral,0.4731,3.0,
instagram,post,DVlBKQuEQRl,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVlBKQuEQRl/,namma_palladam_dmk_selvaraj,,"""Thank you sir  @tup_selvaraj  #tiruppurtherku_selvaraj #mkstalin #tiruppur #dmk🖤❤️"".",185,,,,,6,scrapling_instagram_profile,2026-04-15T02:43:31.900750,,False,positive,0.7882,3.0,
instagram,post,DVko9jgEdT2,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVko9jgEdT2/,namma_palladam_dmk_selvaraj,,"""Thank you sir ✨ @tup_selvaraj  #tiruppurtherku_selvaraj #mkstalin #dmk #tirupur #students"".",93,,,,,0,scrapling_instagram_profile,2026-04-15T02:43:35.609656,,False,positive,0.7896,3.0,
instagram,post,DVkiqAZkgqX,,https://www.instagram.com/nandhinihariharan_dmk/reel/DVkiqAZkgqX/,namma_palladam_dmk_selvaraj,,"141 likes, 2 comments - nandhinihariharan_dmk on March 6, 2026",141,,,,,2,scrapling_instagram_profile,2026-04-15T02:43:40.071481,,False,neutral,0.6358,3.0,
instagram,post,DVkQwYXj40t,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVkQwYXj40t/,namma_palladam_dmk_selvaraj,,"""திராவிடப் படை சங்கமிக்கும் மாபெரும் மாநில மாநாடு. கொள்கைப் படைகள் அணிவகுக்கும் திராவிட மாடல் 2.0-க்கான பிரம்மாண்டத் தொடக்கம். திரண்டு வா உடன்பிறப்பே! மார்ச் 9, திருச்சியில் சந்திப்போம். நம் கழகத்தின் வெற்றியை உறுதி செய்வோம்!  #ஸ்டாலின்_தொடரட்டும்  #tiruppurtherku_selvaraj  #dmk  #tirupur  #mkstalin"".",375,,,,,1,scrapling_instagram_profile,2026-04-15T02:43:44.312943,,False,positive,0.476,3.0,
instagram,post,DVixxovkuGh,,https://www.instagram.com/muthukrishnan_mc/reel/DVixxovkuGh/,namma_palladam_dmk_selvaraj,,"""நமது 35வது வார்டில் அமைந்துள்ள அருள்மிகு சடையப்பன் கோவிலில் நடைபெற்ற வருஷாபிஷேக விழாவில் அன்பு அண்ணன் கா. செல்வராஜ் அவர்களுடன் கலந்து கொண்டோம்🏴🚩"".",354,,,,,1,scrapling_instagram_profile,2026-04-15T02:43:48.179489,,False,neutral,0.6297,0.0,
instagram,post,DVht5GjD8LN,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVht5GjD8LN/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla  மார்ச் 01 – மாண்புமிகு தமிழ்நாடு முதலமைச்சரும் கழகத் தலைவருமான அவர்களின் பிறந்த நாள் விழாவை முன்னிட்டு, திருப்பூர் தெற்கு சட்டமன்ற உறுப்பினர் க.செல்வராஜ் அவர்களின் வழிகாட்டுதலின்படி, 36வது வட்டக் கழகத்தின் சார்பில் நேற்று மாலை 7.00 மணி அளவில் பொதுமக்களுக்கு பிரியாணி மற்றும் இனிப்பு வழங்கப்பட்டது. மேலும் நடைபெற்ற நடன நிகழ்ச்சிகளில் பங்கேற்ற சிறுவர், சிறுமிகளை ஊக்குவிக்கும் வகையில் அவர்களுக்கு எவர் சில்வர் குடம் பரிசாக வழங்கி கௌரவிக்கப்பட்டது. இந்த நிகழ்வில் பொதுமக்கள் மற்றும் கழக நிர்வாகிகள் பெருமளவில் கலந்து கொண்டு விழாவை சிறப்பித்தனர். #tiruppurtherku_selvaraj #mkstalin #dmk🖤❤️ #nammamla #trending"".",175,,,,,4,scrapling_instagram_profile,2026-04-15T02:43:52.518329,,False,neutral,0.5697,3.0,
instagram,post,DVgovxUj8_e,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVgovxUj8_e/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla இன்று 05:03:2026 திருப்பூர் தெற்கு தொகுதிக்கு உட்பட்ட 35வது வார்டு, வாலிபாளையம் பகுதியில் அமைந்துள்ள அருள்மிகு சடையப்பன் கோவிலில் நடைபெற்ற வர்ஷாபிஷேக விழாவில், கலந்து கொண்டு தரிசனம் செய்து, பொதுமக்களுடன் இணைந்து விழாவை சிறப்பித்தேன் 🙏💐💫 #mkstalin #dmk🖤❤️ #tiruppurtherku_selvaraj #trending #tiruppur"".",356,,,,,3,scrapling_instagram_profile,2026-04-15T02:43:56.799594,,False,neutral,0.6085,3.0,
instagram,post,DVgeciTj-zI,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVgeciTj-zI/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla நேற்று 04:03:2026 தமிழ்நாட்டு மக்களின் உரிமைக்கான புதிய அத்தியாயம் வெல்லும் தமிழ் பெண்கள் ஸ்டாலின் மகளிர் படை தமிழ்நாடு முழுவதுவீடு வீடாகச் சென்று பரப்புரை செய்து வருகின்றனர் அதன் தொடர்ச்சியாக திருப்பூர் தெற்கு சட்டமன்ற தொகுதி உட்பட்ட வார்டு 37(அ) கருவம்பாளையம்  மகளிர் அணி பொறுப்பாளர்கள் ஏற்பாடு செய்து பரப்புரையை மேற்கொண்டனர் #tiruppurtherku_selvaraj #mkstalin #nammamla #dmk🖤❤️"".",111,,,,,8,scrapling_instagram_profile,2026-04-15T02:44:01.374494,,False,neutral,0.7443,3.0,
instagram,post,DVfK0shj4p0,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVfK0shj4p0/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla  நேற்று (04.03.2026) நமது திருப்பூர் தெற்கு சட்டமன்ற தொகுதிக்கு உட்பட்ட மாஸ்கோ நகர் மாநகராட்சி தொடக்கப்பள்ளியில் நடைபெற்ற பள்ளி ஆண்டு விழாவில் கலந்துகொண்டேன். ​விழாவில் மாணவச் செல்வங்களின் கலை நிகழ்ச்சிகளைக் கண்டு மகிழ்ந்து, பல்வேறு போட்டிகளில் வெற்றி பெற்ற மாணவர்களுக்குப் பரிசுகளை வழங்கி வாழ்த்தினேன். ​கல்வி என்பது வெறும் பாடம் மட்டுமல்ல, இது போன்ற மேடை வாய்ப்புகளே குழந்தைகளின் தன்னம்பிக்கையை வளர்க்கும். ​நமது தொகுதியின் வருங்காலத் தூண்களான இந்த மாணவர்களின் முன்னேற்றத்திற்கு என்றும் உறுதுணையாக இருப்போம். ​மாணவர்களின் கல்வி வளர்ச்சிக்கு அயராது உழைக்கும் ஆசிரியர்களுக்கும், பெற்றோர்களுக்கும் எனது மனமார்ந்த பாராட்டுகள்! #mkstalin #dmk🖤❤️ #tiruppurtherku_selvaraj #nammamla #tirupur"".",208,,,,,2,scrapling_instagram_profile,2026-04-15T02:44:06.708070,,False,neutral,0.5306,3.0,
instagram,post,DVd1_hbj0la,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVd1_hbj0la/,namma_palladam_dmk_selvaraj,,"""@namma_tiruppur.mla நேற்று  03/03/2026 தமிழ்நாட்டு மகளிரின் உரிமைக்கான புதிய அத்தியாயம் *வெல்லும் தமிழ்ப் பெண்கள் -* ஸ்டாலினின் மகளிர் படை தமிழ்நாடு முழுவதும் வீடு வீடாகச் சென்று பரப்புரை செய்து வருகின்றனர். அதன் தொடர்ச்சியாக திருப்பூர் தெற்கு சட்டமன்ற தொகுதிக்கு உட்பட்ட  கருவம்பாளையம் பகுதி 37 வது(அ) வார்டு  #வெல்லும்_தமிழ்ப்_பெண்கள் #tiruppurtherku_selvaraj #mkstalin #dmk🖤❤️ #tirupur"".",63,,,,,0,scrapling_instagram_profile,2026-04-15T02:44:10.418466,,False,neutral,0.7944,3.0,
instagram,post,DVdr0s1jxDv,,https://www.instagram.com/namma_palladam_dmk_selvaraj/reel/DVdr0s1jxDv/,namma_palladam_dmk_selvaraj,,"""நேற்று  03/03/2026 🖤❤️  தமிழ்நாட்டு மகளிரின் உரிமைக்கான புதிய அத்தியாயம் *வெல்லும் தமிழ்ப் பெண்கள் -* ஸ்டாலினின் மகளிர் படை தமிழ்நாடு முழுவதும் வீடு வீடாகச் சென்று பரப்புரை செய்து வருகின்றனர். அதன் தொடர்ச்சியாக திருப்பூர் தெற்கு சட்டமன்ற தொகுதிக்கு உட்பட்ட நல்லூர் பகுதி 47 வது வார்டு விஜயாபுரத்தில்  நேற்று பரப்புரை செய்து போது   #வெல்லும்_தமிழ்ப்_பெண்கள் #mkstalin🖤❤️ #tiruppurtherku_selvaraj #trendingpost #stalinthodarattumtamilnaduvellattum"".",126,,,,,0,scrapling_instagram_profile,2026-04-15T02:44:14.194336,,False,neutral,0.7249,3.0,
