author,comment_count,id,is_kongu_related,is_palladam_related,like_count,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,parent_id,parties_mentioned,platform,reaction_count,region,reply_count,retweet_count,source,text,timestamp,title,type,url,view_count
,,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,False,,,neutral,0.3894,0.0,,,youtube,,tiruvannamalai,,,scrapling_youtube,Title: Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ... Channel:          ,2026-04-04T02:24:26.651766,Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ...,video,https://www.youtube.com/watch?v=F4Y3jofzD6c&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,
,,ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,False,,,neutral,0.469,3.0,,"dmk,admk",youtube,,tiruvannamalai,,,scrapling_youtube,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,2026-04-04T02:22:25.728712,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,video,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,
,,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,False,,,neutral,0.469,3.0,,"dmk,admk",youtube,,tiruvannamalai,,,scrapling_youtube,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,2026-04-04T02:23:49.339213,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,video,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,
,,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,False,,,neutral,0.4717,0.6087,,dmk,youtube,,tiruvannamalai,,,scrapling_youtube,Title: Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips Channel:          ,2026-04-04T02:12:53.491313,Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips,video,https://www.youtube.com/watch?v=eTcENt7A0ic&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,
NewsJ,,3ttt465Hm2U,False,,,neutral,0.4508,1.3953,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.823961,கொங்கு மண்டலத்தில் எதிரிகளே இல்லாத அளவிற்கு அதிமுக பலமாகவுள்ளது | ADMK |,post,https://www.youtube.com/watch?v=3ttt465Hm2U,682
BBC News Tamil,,cyBpook9lAw,True,,,neutral,0.6163,1.8605,,"dmk,admk",youtube,,salem,,,scrapy_youtube,,2026-03-30T21:58:33.823961,Edappadi Palaniswami : கை கொடுத்த Kongu Belt ; காலை வாரிய South Tamil Nadu – என்ன காரணம்? | AIADMK |,post,https://www.youtube.com/watch?v=cyBpook9lAw,15110
PuthiyathalaimuraiTV,,Gz45oIksddw,False,,,neutral,0.6307,1.3953,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.823961,கொங்கு மண்டலத்தில் அதிமுக வலுவாக உள்ளது: ஈரோடு அதிமுக வேட்பாளர் மணிமாறன் | #ADMK,post,https://www.youtube.com/watch?v=Gz45oIksddw,1280
The Debate,,lwff_diyN2E,False,,,neutral,0.7948,2.3256,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.823961,அதிமுக கொங்கு மண்டல வேட்பாளர் லிஸ்ட்  | EPS களமிறக்கும் 10 பேர் | AIADMK Candidate List | The Debate,post,https://www.youtube.com/watch?v=lwff_diyN2E,281394
Asianet News Tamil,,zr3G1YDnbUI,False,,,negative,0.5014,0.4651,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.823961,60 தொகுதிகளில் செக்...அண்ணாமலையின் கொங்கு ஸ்கெட்ச்..! அலறும் அதிமுக..!,post,https://www.youtube.com/watch?v=zr3G1YDnbUI,17327
PuthiyathalaimuraiTV,,6GNnWTm0kBg,False,,,negative,0.6137,1.8605,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.823961,கொங்கு மண்டலத்தில் சிக்கலில் அதிமுக | EPS | ADMK,post,https://www.youtube.com/watch?v=6GNnWTm0kBg,1625
