platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_palladam_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,2qQp6RdewnI,,https://www.youtube.com/watch?v=2qQp6RdewnI,News18 Tamil Nadu,DMK women's wing conference  | திமுக மகளிர் மாநாடு: குவியத் தொடங்கிய தொண்டர்கள் | Tirupur | Palladam,,,,40923,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,R6kBaMffMIQ,,https://www.youtube.com/watch?v=R6kBaMffMIQ,News18 Tamil Nadu,DMK Magalir Maanadu | திமுக மகளிர் மாநாடு: கலை நிகழ்ச்சிகளுடன் தொடக்கம்! | Palladam,,,,14289,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,7ewyMnCU4o8,,https://www.youtube.com/watch?v=7ewyMnCU4o8,Sun News,DMK Women's Wing Conference | Palladam | Western Region | Sun News,,,,29214,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,XSfpgz1emAg,,https://www.youtube.com/watch?v=XSfpgz1emAg,Sun News,Palladam | DMK Pengal Manadu | SenthilBalaji Speech | MK Stalin | Kanimozhi | Sun News,,,,34423,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,h5q3j-AGGsA,,https://www.youtube.com/watch?v=h5q3j-AGGsA,PuthiyathalaimuraiTV,🔴LIVE: திமுக மகளிரணி மாநாடு.. அதிரும் பல்லடம் | DMK | MK Stalin | UdhyanidhiStalin,,,,71196,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,unknown
youtube,post,3qvqrdo437w,,https://www.youtube.com/watch?v=3qvqrdo437w,ABP Nadu,Palladam DMK Maanadu | வெல்லும் தமிழ் பெண்கள் READY ஆன மாநாடு திடல் சுடச்சுட தயாராகும் உணவு,,,,12541,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,9EeelILrw64,,https://www.youtube.com/watch?v=9EeelILrw64,King 360,பல்லடம் தொகுதியின் உத்தேச வேட்பாளர் யார் ? | Palladam Constituency Candidate List 2026,,,,2827,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,EO1IrPkAN4w,,https://www.youtube.com/watch?v=EO1IrPkAN4w,News18 Tamil Nadu,Breaking News | பல்லடத்தில் வரும் 29ஆம் தேதி திமுக மேற்கு மண்டல மகளிர் அணி மாநாடு | DMK,,,,4553,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tamil_nadu_general
youtube,post,1DxbcAYK348,,https://www.youtube.com/watch?v=1DxbcAYK348,Sun News,CM Stalin Warm welcome | Vellum Tamil Pengal | DMK | Palladam | TN Govt | Sun News,,,,6818,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,YV5_4RUC4jE,,https://www.youtube.com/watch?v=YV5_4RUC4jE,NewsTamil 24X7,🔴LIVE : திமுக மகளிரணி மாநாடு.. விறுவிறுப்பாக தயாராகும் கொங்கு மண்டலம்! | Tirupur | DMK Womens Wing,,,,26419,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,tiruppur
youtube,post,AZxDk16-y8s,,https://www.youtube.com/watch?v=AZxDk16-y8s,NewsTamil 24X7,திமுக மகளிர் மாநாடு:மாஸ் ஏற்பாடு..ஸ்பாட் ரிப்போர்ட்..! | DMK Women's Wing Conference,,,,4928,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,unknown
