platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,https://www.youtube.com/watch?v=eTcENt7A0ic&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips,Title: Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:13:22.014249,dmk,False,neutral,0.4717,0.6087,tiruvannamalai
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWvSBwkJ2QoBhyohjO8%3D,,https://www.youtube.com/watch?v=F4Y3jofzD6c&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWvSBwkJ2QoBhyohjO8%3D,,Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ...,Title: Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ... Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:13:22.012271,,False,neutral,0.3894,0.0,tiruvannamalai
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:13:22.010729,"dmk,admk",False,neutral,0.469,1.8261,tiruvannamalai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,,https://www.youtube.com/watch?v=eTcENt7A0ic&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,,Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips,Title: Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:12:53.491313,dmk,False,neutral,0.4717,0.6087,tiruvannamalai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=F4Y3jofzD6c&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ...,Title: Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ... Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:12:53.488312,,False,neutral,0.3894,0.0,tiruvannamalai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:12:53.480188,"dmk,admk",False,neutral,0.469,1.8261,tiruvannamalai
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,https://www.youtube.com/watch?v=eTcENt7A0ic&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips,Title: Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:24:26.655764,dmk,False,neutral,0.4717,1.2069,tiruvannamalai
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,https://www.youtube.com/watch?v=F4Y3jofzD6c&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ...,Title: Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ... Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:24:26.651766,,False,neutral,0.3894,0.0,tiruvannamalai
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWvSBwkJ2QoBhyohjO8%3D,,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWvSBwkJ2QoBhyohjO8%3D,,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:24:26.648189,"dmk,admk",False,neutral,0.469,3.0,tiruvannamalai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=eTcENt7A0ic&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips,Title: Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:23:49.474385,dmk,False,neutral,0.4717,1.2069,tiruvannamalai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=F4Y3jofzD6c&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ...,Title: Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ... Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:23:49.351639,,False,neutral,0.3894,0.0,tiruvannamalai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:23:49.339213,"dmk,admk",False,neutral,0.469,3.0,tiruvannamalai
youtube,video,ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,https://www.youtube.com/watch?v=eTcENt7A0ic&pp=ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips,Title: Therthal Payanam Thiruvannamalai | MLA Giri lists DMK's achievements at his fingertips Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:22:25.736906,dmk,False,neutral,0.4717,1.2069,tiruvannamalai
youtube,video,ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,https://www.youtube.com/watch?v=F4Y3jofzD6c&pp=ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ...,Title: Therthal Payanam Thiruvannamalai | The Nathak candidate who shocked the world by telling what he ... Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:22:25.733401,,False,neutral,0.3894,0.0,tiruvannamalai
youtube,video,ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,https://www.youtube.com/watch?v=Ugm4aLkm_iU&pp=ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics,Title: Babu Murugavel explained the benefits of the AIADMK regime to Tiruvannamalai with statistics Channel:          ,,,,,,,scrapling_youtube,2026-04-04T02:22:25.728712,"dmk,admk",False,neutral,0.469,3.0,tiruvannamalai
