platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_palladam_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
instagram,post,DWG9t-ljL0v,,https://www.instagram.com/p/DWG9t-ljL0v/,,,"6,705 likes, 27 comments - kovai_anandha_vilas on March 20, 2026: ""Crafted with spice. Served with perfection 🔥 Kovai Aanandha Vilas specials you can’t skip 🍽️ . . . . Kovai Aanandha Vilas, Special Dishes, Non Veg Specials, Chicken Varuval, Mutton Fry, Fish Fry, Prawn Masala, Naatu Kozhi, Spicy Fry, Satti Varuval, Pepper Chicken, Chettinad Style, South Indian Non Veg, Tamil Food, Authentic Taste, Traditional Cooking, Fresh Meat, Masala Fry, Street Style Food, Kovai Food, Coimbatore Food, Food Reels, Viral Food, Must Try Dishes, Non Veg Lovers, Foodie Spot, Spicy Treat 🔥🍗"".",,,,,,,scrapy_instagram,2026-03-30T19:35:31.439891,,True,,,,coimbatore
instagram,post,DWG9t-ljL0v,,https://www.instagram.com/p/DWG9t-ljL0v/,,,"6,705 likes, 27 comments - kovai_anandha_vilas on March 20, 2026: ""Crafted with spice. Served with perfection 🔥 Kovai Aanandha Vilas specials you can’t skip 🍽️ . . . . Kovai Aanandha Vilas, Special Dishes, Non Veg Specials, Chicken Varuval, Mutton Fry, Fish Fry, Prawn Masala, Naatu Kozhi, Spicy Fry, Satti Varuval, Pepper Chicken, Chettinad Style, South Indian Non Veg, Tamil Food, Authentic Taste, Traditional Cooking, Fresh Meat, Masala Fry, Street Style Food, Kovai Food, Coimbatore Food, Food Reels, Viral Food, Must Try Dishes, Non Veg Lovers, Foodie Spot, Spicy Treat 🔥🍗"".",,,,,,,scrapy_instagram,2026-03-30T20:21:31.031599,,True,,,,coimbatore
instagram,post,DWG9t-ljL0v,,https://www.instagram.com/p/DWG9t-ljL0v/,,,"6,705 likes, 27 comments - kovai_anandha_vilas on March 20, 2026: ""Crafted with spice. Served with perfection 🔥 Kovai Aanandha Vilas specials you can’t skip 🍽️ . . . . Kovai Aanandha Vilas, Special Dishes, Non Veg Specials, Chicken Varuval, Mutton Fry, Fish Fry, Prawn Masala, Naatu Kozhi, Spicy Fry, Satti Varuval, Pepper Chicken, Chettinad Style, South Indian Non Veg, Tamil Food, Authentic Taste, Traditional Cooking, Fresh Meat, Masala Fry, Street Style Food, Kovai Food, Coimbatore Food, Food Reels, Viral Food, Must Try Dishes, Non Veg Lovers, Foodie Spot, Spicy Treat 🔥🍗"".",,,,,,,scrapy_instagram,2026-03-30T21:25:46.133258,,True,,,,coimbatore
facebook,post,c17ae7e9ee435d05,,https://www.facebook.com/search/posts?q=palladam%20admk%20OR%20palladam%20aiadmk%20OR%20palladam%20%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%AE%E0%AF%81%E0%AE%95,,,"During the ongoing electoral preparations in Coimbatore district, senior BJP leader K. Annamalai was reportedly considering contesting from constituencies such as Singa…  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:24:53.578476,"dmk,admk",True,,,,coimbatore
facebook,post,c17ae7e9ee435d05,,https://www.facebook.com/search/posts?q=palladam%20admk%20OR%20palladam%20aiadmk%20OR%20palladam%20%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%AE%E0%AF%81%E0%AE%95,,,"During the ongoing electoral preparations in Coimbatore district, senior BJP leader K. Annamalai was reportedly considering contesting from constituencies such as Singa…  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:24:53.578476,"dmk,admk",True,,,,coimbatore
facebook,post,c17ae7e9ee435d05,,https://www.facebook.com/search/posts?q=palladam%20admk%20OR%20palladam%20aiadmk%20OR%20palladam%20%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%AE%E0%AF%81%E0%AE%95,,,"During the ongoing electoral preparations in Coimbatore district, senior BJP leader K. Annamalai was reportedly considering contesting from constituencies such as Singa…  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:24:53.577478,"dmk,admk",True,,,,coimbatore
instagram,post,DWG9t-ljL0v,,https://www.instagram.com/p/DWG9t-ljL0v/,,,"6,705 likes, 27 comments - kovai_anandha_vilas on March 20, 2026: ""Crafted with spice. Served with perfection 🔥 Kovai Aanandha Vilas specials you can’t skip 🍽️ . . . . Kovai Aanandha Vilas, Special Dishes, Non Veg Specials, Chicken Varuval, Mutton Fry, Fish Fry, Prawn Masala, Naatu Kozhi, Spicy Fry, Satti Varuval, Pepper Chicken, Chettinad Style, South Indian Non Veg, Tamil Food, Authentic Taste, Traditional Cooking, Fresh Meat, Masala Fry, Street Style Food, Kovai Food, Coimbatore Food, Food Reels, Viral Food, Must Try Dishes, Non Veg Lovers, Foodie Spot, Spicy Treat 🔥🍗"".",,,,,,,scrapy_instagram,2026-03-30T21:38:43.388050,,True,,,,coimbatore
youtube,post,rEXg2Y7WniI,,https://www.youtube.com/watch?v=rEXg2Y7WniI,Malaimurasu Tv 24X7,🔴 BREAKING : 'கோவை DMK இளைஞரணி மாநாடு..!' | DMK | Udhayanithi | CM Stalin | Coimbatore,,,,7305,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,True,neutral,0.6226,0.9302,coimbatore
youtube,post,QFPWydUCTIc,,https://www.youtube.com/watch?v=QFPWydUCTIc,Sathiyam News,🔴LIVE: DMK Kovai Maanadu | கோவையை அதிர விடும் திமுக இளைஞர் அணி பிரமாண்ட மாநாடு,,,,16301,,,,scrapy_youtube,2026-03-30T21:58:31.628785,dmk,True,neutral,0.4206,0.4651,coimbatore
youtube,post,kdyJXjDvDW0,,https://www.youtube.com/watch?v=kdyJXjDvDW0,AMMA EXPRESS TV,கோவையை குறி வைக்கும் திமுக.. களமிறங்கும் 10 வேட்பாளர்கள் யார் யார்?,,,,107580,,,,scrapy_youtube,2026-03-30T21:58:31.628785,dmk,True,neutral,0.7723,0.0,coimbatore
