platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,9XYEnW9_y6Q,,https://www.youtube.com/watch?v=9XYEnW9_y6Q,Erode Rooster,Kongu Farms Chennimalai Dm number +91 96779 43449 #seval #roosterfarm ,,,,917,,,,scrapy_youtube,2026-03-30T21:58:31.630300,dmk,True,neutral,0.8342,0.0,erode
youtube,post,9-nUMGrLuQ0,,https://www.youtube.com/watch?v=9-nUMGrLuQ0,Malaimurasu Tv 24X7,DMK வேட்பாளர் | Erode Modakurichi | Stalin | TN Election News,,,,120054,,,,scrapy_youtube,2026-03-30T21:58:28.869242,"dmk,admk",True,neutral,0.5856,0.9302,erode
youtube,post,a_F5oqZA1MU,,https://www.youtube.com/watch?v=a_F5oqZA1MU,PuthiyathalaimuraiTV,DMK MP Tiruchi Siva Full Speech In DMK Conference At Erode | #MKStalin #DMK #TrichySiva #Karunanidhi,,,,289370,,,,scrapy_youtube,2026-03-30T21:58:28.869242,"dmk,admk",True,neutral,0.5189,0.9302,erode
youtube,post,ZCHyHRgYBN8,,https://www.youtube.com/watch?v=ZCHyHRgYBN8,India Today,TVK Chief Vijay Brands DMK 'Evil Force' At Erode Rally; Ex-Minister Sengottaiyan Joins Party,,,,4044,,,,scrapy_youtube,2026-03-30T21:58:28.869242,"dmk,admk,tvk",True,negative,0.5616,1.3953,erode
youtube,post,Hgz39MI-92c,,https://www.youtube.com/watch?v=Hgz39MI-92c,Malaimurasu Tv 24X7,🔴 LIVE : DMK வேட்பாளர் | Erode Modakurichi | Stalin | TN Election News,,,,7909,,,,scrapy_youtube,2026-03-30T21:58:28.869242,"dmk,admk",True,neutral,0.6977,0.9302,erode
youtube,post,dvP0DxgonaA,,https://www.youtube.com/watch?v=dvP0DxgonaA,PuthiyathalaimuraiTV,விஜய் பேச்சு- கொந்தளித்த திமுக | TVK Vijay Full Speech | Erode  | DMK,,,,39854,,,,scrapy_youtube,2026-03-30T21:58:28.869242,"dmk,admk,tvk",True,neutral,0.6455,1.8605,erode
youtube,post,g3YpttKsB3M,,https://www.youtube.com/watch?v=g3YpttKsB3M,NewsTamil 24X7,SIR எதிர்ப்பு.. திமுக கூட்டணி ஆர்ப்பாட்டத்தில் சலசலப்பு.. | Erode | DMK Protest | SIR | TN Govt,,,,2879,,,,scrapy_youtube,2026-03-30T21:58:28.868696,"dmk,admk",True,negative,0.6776,0.4651,erode
youtube,post,q4nlrrFFyRU,,https://www.youtube.com/watch?v=q4nlrrFFyRU,Thanthi TV,DMK | Erode | ஈரோடு கிழக்கில் போட்டியிட ஆயத்தமாகும் திமுகவின் பழனியப்பா செந்தில்,,,,3493,,,,scrapy_youtube,2026-03-30T21:58:28.868696,"dmk,admk",True,neutral,0.5554,0.4651,erode
youtube,post,Jn7HYvf68Zs,,https://www.youtube.com/watch?v=Jn7HYvf68Zs,Sathiyam News,Erode | MKStalin | DMK | ஈரோட்டில் முதலமைச்சர்... இன்று திறக்கப்படும் சிலை..,,,,6298,,,,scrapy_youtube,2026-03-30T21:58:28.868696,"dmk,admk",True,neutral,0.7208,0.9302,erode
youtube,post,XXYfu4Vnhz4,,https://www.youtube.com/watch?v=XXYfu4Vnhz4,KALAM TAMIL TV,ஈரோடு கிழக்கு யாருக்கு? திமுகவில் புதுமுகம் அறிமுகம். | Erode East DMK MLA ELECTION CANDIDATE list,,,,9086,,,,scrapy_youtube,2026-03-30T21:58:28.868696,"dmk,admk",True,neutral,0.8154,0.4651,erode
