platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DVZGC3Tj21y,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,pollachi_v_jayaraman,,"""புரட்சித் தலைவர் எம்ஜிஆர்,புரட்சித்தலைவி அம்மா, கழகப் பொதுச் செயலாளர் புரட்சித் தமிழர் எடப்பாடியார் ஆகியோரின் பிறந்தநாள் விழாவை முன்னிட்டு,  *கோவை புறநகர் தெற்கு மாவட்ட கழகம்,பொள்ளாச்சி சட்டமன்றத் தொகுதி, பொள்ளச்சி நகர கழகத்தின் சார்பாக *  முன்னாள் அமைச்சர்,பொள்ளாச்சி சட்டமன்ற உறுப்பினர்,கழகத் தேர்தல் பிரிவு செயலாளர்,திருப்பூர் மாநகர் மாவட்டக் கழகச் செயலாளர் முனைவர்  பொள்ளாச்சி.V.ஜெயராமன், அவர்கள் கிரிக்கெட் அணிகளுக்கு கிரிக்கெட் உபகரணங்களை வழங்கி சிறப்புரையாற்றினார். பொள்ளாச்சி நகர கழக செயலாளர் திரு. V. கிருஷ்ணகுமார் அவர்கள் முன்னிலை வகித்தார். இந்நிகழ்வில், கழக நிர்வாகிகள் பங்கேற்றனர். #instagramreels #pollachi #reelsintagram #pollachijayaraman🖤🤍❤️ #eps #election2026 #fyn"".",264,,,,,0,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.7251,3.0,
instagram,post,DVZFP5FD738,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZFP5FD738/,pollachi_v_jayaraman,,"""👑❤️‍🔥 புரட்சித் தலைவர் எம்ஜிஆர்,புரட்சித்தலைவி அம்மா, கழகப் பொதுச் செயலாளர் புரட்சித் தமிழர் எடப்பாடியார் ஆகியோரின் பிறந்தநாள் விழாவை முன்னிட்டு,  பொள்ளாச்சி சட்டமன்றத் தொகுதியின் சார்பாக, கோனப்பர் வீதி, வெங்கட்ரமணன் வீதி ஆகிய பகுதிகளில் நடைபெற்ற நலத்திட்ட உதவி பரிசு பெட்டகம் வழங்கும் விழாவில்,  முன்னாள் அமைச்சர்,பொள்ளாச்சி சட்டமன்ற உறுப்பினர்,கழகத் தேர்தல் பிரிவு செயலாளர்,திருப்பூர் மாநகர் மாவட்டக் கழகச் செயலாளர் முனைவர்  பொள்ளாச்சி.V.ஜெயராமன் அவர்கள் பங்கேற்று பொதுமக்களுக்கு நலத்திட்ட உதவிகளை வழங்கி சிறப்புரையாற்றினார். பொள்ளாச்சி நகர கழக செயலாளர் திரு. V. கிருஷ்ணகுமார் அவர்கள் முன்னிலை வகித்தார். இந்நிகழ்வில், கழக நிர்வாகிகள் மற்றும் தோழமைக் கட்சி நிர்வாகிகள் பங்கேற்றனர். #reelsi̇nstagram #pollachi #eps #election2026 #pollachijayaraman🖤🤍❤️"".",272,,,,,0,scrapling_instagram_profile,2026-04-15T14:49:18.922958,,False,neutral,0.6411,3.0,
instagram,post,DVZD7a-jxac,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZD7a-jxac/,pollachi_v_jayaraman,,"""புரட்சித் தலைவர் எம்ஜிஆர்,புரட்சித்தலைவி அம்மா, கழகப் பொதுச் செயலாளர் புரட்சித் தமிழர் எடப்பாடியார் ஆகியோரின் பிறந்தநாள் விழாவை முன்னிட்டு,  பொள்ளாச்சி சட்டமன்றத் தொகுதியின் சார்பாக, கிணத்துக்கடவு மேற்கு ஒன்றியம், கக்கடவு, ஊராட்சியில் நடைபெற்ற நலத்திட்ட உதவி பரிசு பெட்டகம் வழங்கும் விழாவில்,  முன்னாள் அமைச்சர்,பொள்ளாச்சி சட்டமன்ற உறுப்பினர்,கழகத் தேர்தல் பிரிவு செயலாளர்,திருப்பூர் மாநகர் மாவட்டக் கழகச் செயலாளர் முனைவர்  பொள்ளாச்சி.V.ஜெயராமன் அவர்கள் பங்கேற்று பொதுமக்களுக்கு நலத்திட்ட உதவிகளை வழங்கி சிறப்புரையாற்றினார் பொள்ளாச்சி நகர கழக செயலாளர் திரு. V. கிருஷ்ணகுமார், கிணத்துக்கடவு மேற்கு ஒன்றிய கழகச் செயலாளர் திரு.பாப்பு (எ)திருஞானசம்பந்தம்ஆகியோர் முன்னிலை வகித்தனர். #pollachi #reelsviralvideo❤️❤️❤️❤️ #election2026 #eps #pollachijayaraman🖤🤍❤️"".",274,,,,,1,scrapling_instagram_profile,2026-04-15T14:49:23.976254,,False,neutral,0.6658,3.0,
instagram,post,DVYLmLrCQi-,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVYLmLrCQi-/,pollachi_v_jayaraman,,"832 likes, 8 comments - pollachi_v_jayaraman on March 2, 2026",832,,,,,8,scrapling_instagram_profile,2026-04-15T14:49:29.010128,,False,neutral,0.616,0.0,
instagram,post,DVX59E9Cbwk,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVX59E9Cbwk/,pollachi_v_jayaraman,,"346 likes, 7 comments - pollachi_v_jayaraman on March 1, 2026",346,,,,,7,scrapling_instagram_profile,2026-04-15T14:49:33.740333,,False,neutral,0.6086,0.0,
instagram,post,DVX4aHaiRjG,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVX4aHaiRjG/,pollachi_v_jayaraman,,"""நமது எதிர்கால இந்தியாவை உருவாக்கும் இளம் தலைமுறையினரே, போர்டு தேர்வில் நீங்கள் மிகச்சிறந்த மதிப்பெண்களுடன் வெற்றி பெற என் உள்ளங்கனிந்த ஆசிகளும் நல்வாழ்த்துகளும். #admk #mgr #epsfor2026cm #pollachijayaraman🖤🤍❤️"".",216,,,,,2,scrapling_instagram_profile,2026-04-15T14:49:38.670858,,False,positive,0.7514,3.0,
instagram,post,DVXijY9CTxF,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVXijY9CTxF/,pollachi_v_jayaraman,,"516 likes, 3 comments - pollachi_v_jayaraman on March 1, 2026",516,,,,,3,scrapling_instagram_profile,2026-04-15T14:49:43.904844,,False,neutral,0.6091,0.0,
instagram,post,DVWmm9hjx75,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVWmm9hjx75/,pollachi_v_jayaraman,,"""புரட்சித் தலைவர் எம்ஜிஆர்,புரட்சித்தலைவி அம்மா, கழகப் பொதுச் செயலாளர் புரட்சித் தமிழர் எடப்பாடியார் ஆகியோரின் பிறந்தநாள் விழாவை முன்னிட்டு,  கோவை புறநகர் தெற்கு மாவட்ட கழகம்,பொள்ளாச்சி சட்டமன்றத் தொகுதி, பொள்ளச்சி நகர கழகத்தின் சார்பாக *முன்னாள் அமைச்சர்,பொள்ளாச்சி சட்டமன்ற உறுப்பினர்,கழகத் தேர்தல் பிரிவு செயலாளர்,திருப்பூர் மாநகர் மாவட்டக் கழகச் செயலாளர் முனைவர்  பொள்ளாச்சி.V.ஜெயராமன், அவர்களின் தலைமையில்,  நடைபெற்ற கிரிக்கெட் அணிகளுக்கு கிரிக்கெட் உபகரணங்கள் வழங்கும் நலத்திட்ட விழாவில்,  முன்னாள் அமைச்சர்,பொள்ளாச்சி சட்டமன்ற உறுப்பினர்,கழகத் தேர்தல் பிரிவு செயலாளர்,திருப்பூர் மாநகர் மாவட்டக் கழகச் செயலாளர் முனைவர்  பொள்ளாச்சி.V.ஜெயராமன், அவர்கள் கிரிக்கெட் அணிகளுக்கு கிரிக்கெட் உபகரணங்களை வழங்கி சிறப்புரையாற்றினார். #matchday #gifthampers🎁😊 #pollachi #pollachijayaraman🖤🤍❤️ #reelsi̇nstagram #fyy"".",112,,,,,0,scrapling_instagram_profile,2026-04-15T14:49:48.578305,,False,neutral,0.7099,3.0,
instagram,post,DVWkfDIj5yd,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVWkfDIj5yd/,pollachi_v_jayaraman,,"""புரட்சித் தலைவர் எம்ஜிஆர்,புரட்சித்தலைவி அம்மா, கழகப் பொதுச் செயலாளர் புரட்சித் தமிழர் எடப்பாடியார் ஆகியோரின் பிறந்தநாள் விழாவை முன்னிட்டு,  பொள்ளாச்சி சட்டமன்றத் தொகுதியின் சார்பாக, கிணத்துக்கடவு மேற்கு ஒன்றியம்,காணியாலாம்பாளையம், ஊராட்சியில் நடைபெற்ற நலத்திட்ட உதவி பரிசு பெட்டகம் வழங்கும் விழாவில்,  முன்னாள் அமைச்சர்,பொள்ளாச்சி சட்டமன்ற உறுப்பினர்,கழகத் தேர்தல் பிரிவு செயலாளர்,திருப்பூர் மாநகர் மாவட்டக் கழகச் செயலாளர் முனைவர்  *பொள்ளாச்சி.V.ஜெயராமன் அவர்கள் பங்கேற்று பொதுமக்களுக்கு நலத்திட்ட உதவிகளை வழங்கி சிறப்புரையாற்றினார். #reelsviralvideo❤️❤️❤️❤️ #instagrampost #eps #pollachijayaraman🖤🤍❤️ #ᴇxᴘʟᴏʀᴇᴘᴀɢᴇ"".",335,,,,,2,scrapling_instagram_profile,2026-04-15T14:49:54.002579,,False,neutral,0.6696,3.0,
instagram,post,DVVOJ6hjycG,,https://www.instagram.com/pollachi_v_jayaraman/reel/DVVOJ6hjycG/,pollachi_v_jayaraman,,"""🌱❤️‍🔥 [pollachijayaraman , gifthamper, admk , eps , election2026 ] #reelsviralvideo❤️❤️❤️❤️ #viralreels❤️ #pollachi #pollachijayaraman🖤🤍❤️ #election2026 #fyy"".",161,,,,,1,scrapling_instagram_profile,2026-04-15T14:49:58.944274,,False,positive,0.4113,3.0,
