platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DVZGC3Tj21y_c0,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.485,0.0,
instagram,comment,DVZGC3Tj21y_c1,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.5443,0.0,
instagram,comment,DVZGC3Tj21y_c2,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.4202,0.0,
instagram,comment,DVZGC3Tj21y_c3,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.425,0.0,
instagram,comment,DVZGC3Tj21y_c4,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.428,0.0,
instagram,comment,DVZGC3Tj21y_c5,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.4742,0.0,
instagram,comment,DVZGC3Tj21y_c6,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.858,0.0,
instagram,comment,DVZGC3Tj21y_c7,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.4222,0.0,
instagram,comment,DVZGC3Tj21y_c8,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,negative,0.3877,0.0,
instagram,comment,DVZGC3Tj21y_c9,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.4318,0.0,
instagram,comment,DVZGC3Tj21y_c10,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.5725,0.0,
instagram,comment,DVZGC3Tj21y_c11,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.3784,0.0,
instagram,comment,DVZGC3Tj21y_c12,DVZGC3Tj21y,https://www.instagram.com/pollachi_v_jayaraman/reel/DVZGC3Tj21y/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-15T14:49:13.587386,,False,neutral,0.4,0.0,
