platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,reels_c0,reels,https://www.instagram.com/reels/,unknown,,fascinodresses_by_shyn,,,,,,,scrapling_instagram_profile,2026-04-06T02:03:33.288928,,False,neutral,0.4698,0.0,
instagram,comment,reels_c1,reels,https://www.instagram.com/reels/,unknown,,Follow,,,,,,,scrapling_instagram_profile,2026-04-06T02:03:33.288928,,False,neutral,0.4558,0.0,
instagram,comment,reels_c2,reels,https://www.instagram.com/reels/,unknown,,muklesur__bhaijaan,,,,,,,scrapling_instagram_profile,2026-04-06T02:03:33.288928,,False,neutral,0.3617,0.0,
instagram,comment,reels_c3,reels,https://www.instagram.com/reels/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-06T02:03:33.288928,,False,neutral,0.6173,0.0,
instagram,comment,DWqwbt8EbZs_c0,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,neutral,0.5217,0.0,
instagram,comment,DWqwbt8EbZs_c1,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,neutral,0.6173,0.0,
instagram,comment,DWqwbt8EbZs_c2,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,❤️❤️❤️❤️,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,positive,0.8373,0.0,
instagram,comment,DWqwbt8EbZs_c3,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,Vote for ,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,neutral,0.4454,0.0,
instagram,comment,DWqwbt8EbZs_c4,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,rekla_mohan,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,neutral,0.385,0.0,
instagram,comment,DWqwbt8EbZs_c5,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,santhosh_rangasamy_,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,negative,0.3433,0.0,
instagram,comment,DWqwbt8EbZs_c6,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,harichinnagounder,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,neutral,0.357,0.0,
instagram,comment,DWqwbt8EbZs_c7,DWqwbt8EbZs,https://www.instagram.com/voice_of_nithiyanandhan/reel/DWqwbt8EbZs/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-06T03:36:46.439640,,False,neutral,0.4338,0.0,
