platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,DI_VGSNv1mC,,https://www.instagram.com/tvkcbehq/reel/DI_VGSNv1mC/,tvksampathcbe,,"""செயல் வீரர் சம்பத் குமார் ❤️💛❤️  #thalapathy #tvkkovaimaanagar #tvkvijayofficial #tvkcoimbatoremaanagar #tvkcbe #tvkkovaimanagar #boothcommitteemeeting"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:44:40.773474,,False,neutral,0.4828,3.0,
instagram,post,DB6g4n4zMVn,,https://www.instagram.com/tvksampathcbe/p/DB6g4n4zMVn/,tvksampathcbe,,"""நம் தலைவருடன்..."".",,,,,,,scrapling_instagram_profile,2026-04-07T01:44:46.164298,,False,neutral,0.4995,0.0,
instagram,post,DA256wpTeOf,,https://www.instagram.com/tvksampathcbe/p/DA256wpTeOf/,tvksampathcbe,,"tvksampathcbe on October 8, 2024",,,,,,,scrapling_instagram_profile,2026-04-07T01:44:50.919383,,False,neutral,0.8409,3.0,
instagram,post,DWyqvvsjwg3,,https://www.instagram.com/tvk.whistle/p/DWyqvvsjwg3/,tvksampathcbe,,"""Vote for Tvk 👆"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:44:56.027031,,False,neutral,0.6597,3.0,
instagram,post,DWyi4kziVJt,,https://www.instagram.com/tvkvijay.family/reel/DWyi4kziVJt/,tvksampathcbe,,"tvkvijay.family on April 6, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:00.244534,,False,neutral,0.8821,3.0,
instagram,post,DWyg9VnAbUA,,https://www.instagram.com/tvk.akbar/reel/DWyg9VnAbUA/,tvksampathcbe,,"""TVK 🇪🇸  #shortsfeed #shorts #politics #vijay #reel@tvksampathcbe @tvksampathcbe"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:04.627856,,False,neutral,0.5292,3.0,
instagram,post,DWyOhvKD-M1,,https://www.instagram.com/tvk.whistle/reel/DWyOhvKD-M1/,tvksampathcbe,,"""கோவை வடக்கு தொகுதியின் வெற்றி வேட்பாளர் அண்ணன் சம்பத்குமார் அவர்கள் வடவள்ளி உழவர் சந்தை பகுதியில் தீவிர வாக்கு சேகரிதார் ❤️💛❤️"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:08.353907,,False,neutral,0.655,0.0,
instagram,post,DWx7YT_Dxe_,,https://www.instagram.com/tvkcbehq/reel/DWx7YT_Dxe_/,tvksampathcbe,,"""தமிழக வெற்றிக் கழகத்தின் கோவை வடக்கு சட்டமன்ற தொகுதியின் வெற்றி வேட்பாளர் அண்ணன் V சம்பத்குமார் அவர்கள் கோவை வடக்கு சட்டமன்ற தொகுதிக்கு உட்பட்ட வடவள்ளி, அஜ்ஜனூர், வீரகேரளம் பகுதிகளில் பொது மக்களை நேரில் சந்தித்து வீடு வீடாக சென்று தீவிர வாக்கு சேகரிப்பில் ஈடுபட்டார்."".",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:12.411327,,False,neutral,0.7019,0.0,
instagram,post,DWx0yT6j37J,,https://www.instagram.com/tvk.whistle/reel/DWx0yT6j37J/,tvksampathcbe,,"tvk.whistle on April 5, 2026",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:16.568562,,False,neutral,0.9072,3.0,
instagram,post,DWxwc6HD31m,,https://www.instagram.com/tvk.whistle/p/DWxwc6HD31m/,tvksampathcbe,,"""நமது கோவை வடக்கு தொகுதியின் வெற்றி வேட்பாளர் அண்ணன் சம்பத்குமார் அவர்கள் 💥💥💥"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:20.495374,,False,neutral,0.7426,0.0,
instagram,post,DWxcsZ6jwHy,,https://www.instagram.com/tvk.whistle/reel/DWxcsZ6jwHy/,tvksampathcbe,,"""கோவை வடக்கு தொகுதியின் வெற்றி வேட்பாளர் அண்ணன் சம்பத்குமார்  அவர்கள் 💥💥 .. .. .. .. #Votefortvk"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:24.467070,,False,neutral,0.7045,3.0,
instagram,post,DWwea0kkqlh,,https://www.instagram.com/tvk_dani/reel/DWwea0kkqlh/,tvksampathcbe,,"""சாய்பாபா காலனி பகுதி கழகம் சார்பில் 44வது வார்டு மற்றும் 45வது வார்டில் நமது வெற்றி வேட்பாளர் சம்பத் குமார் அண்ணன் அவர்கள் தீவிர பிரசாரத்தில் ஈடுபட்டார்....  இதில் மாவட்டம்  பகுதி,வார்டு மற்றும் சார்பு அணி நிர்வாகிகள் பூத் பொறுப்பாளர்கள் கலந்து கொண்டு இந்நிகழ்ச்சியை திருவிழா கோலாகலமாக மாற்றியமைக்கு நன்றியை தெரிவித்து கொள்கிறேன்...  நன்றி....🙏🏻 . #tvk #vijay #tvkvijay #tvkfortn #தமிழகவெற்றிக்கழகம்"".",,,,,,,scrapling_instagram_profile,2026-04-07T01:45:28.717270,,False,positive,0.4579,3.0,
instagram,post,DVvNHhnk-S9,,https://www.instagram.com/tvkcbehq/reel/DVvNHhnk-S9/,tvksampathcbe,,"""இது தான் இன்றைய திராவிட மாடலின் சாதனை . அப்பாவி குழந்தைகள் உண்ணும் உணவில் கூட ஊழல் நிறைந்த ஆட்சி இன்று நடக்கிறது"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:48:52.245078,,False,negative,0.4612,0.0,
instagram,post,DVu7uLXD_by,,https://www.instagram.com/tvk.whistle/reel/DVu7uLXD_by/,tvksampathcbe,,"tvk.whistle on March 10, 2026",,,,,,,scrapling_instagram_profile,2026-04-13T01:48:56.658685,,False,neutral,0.837,3.0,
instagram,post,DVurbiuk76e,,https://www.instagram.com/tvkcbehq/reel/DVurbiuk76e/,tvksampathcbe,,"""சொன்னீர்களே ….. செய்தீர்களா …????"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:01.781718,,False,neutral,0.7046,0.0,
instagram,post,DVs6xZXjxr_,,https://www.instagram.com/tvkcbehq/reel/DVs6xZXjxr_/,tvksampathcbe,,"""இது தான் இந்த தீய சக்தி ஆட்சியில் நடந்த சாதனை"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:06.706762,,False,negative,0.3923,0.0,
instagram,post,DVsT_V_jwLx,,https://www.instagram.com/tvkcbehq/reel/DVsT_V_jwLx/,tvksampathcbe,,"""இன்று நமது கோவை மாநகர் மாவட்ட செயலாளர் அண்ணன் திரு சம்பத்குமார் அவர்கள் சென்னை TVKHQ வில் தளபதி உடன் நேர்காணல்"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:11.788730,,False,neutral,0.7813,3.0,
instagram,post,DVqyj8cj-De,,https://www.instagram.com/tvkcbehq/reel/DVqyj8cj-De/,tvksampathcbe,,"""தலைவர் on fire 🔥"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:16.875388,,False,negative,0.5205,0.0,
instagram,post,DVqNSduD9F_,,https://www.instagram.com/tvkcbehq/p/DVqNSduD9F_/,tvksampathcbe,,"""நேற்று நடத்த கோவை மாநகர் மாவட்ட செயலாளர் அண்ணன் திரு சம்பத்குமார் தலைமையில் நடைபெற்ற எங்கள் கனவுகளை சொல்கிறோம் கேளுங்கள் என்ற தலைப்பில் நடைபெற்ற மாபெரும் பொதுக்கூட்டத்தில்"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:20.980455,,False,neutral,0.687,0.0,
instagram,post,DVqNLCqjzbD,,https://www.instagram.com/jose_tvk/reel/DVqNLCqjzbD/,tvksampathcbe,,"""#tvk #tvksampathcbe #tvkcoimbatore #virel #tvkcoimbatorenorth"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:26.426003,,False,neutral,0.418,3.0,
instagram,post,DVppHQajzgZ,,https://www.instagram.com/tvkcbehq/reel/DVppHQajzgZ/,tvksampathcbe,,"""கோவை மாநகர் மாவட்ட செயலாளர் திரு.சம்பத்குமார் அவர்கள் சார்பில் அக்னி சிறகே 2.0 மாரத்தான் சிறப்பாக நடைபெற்றது"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:32.316513,,False,neutral,0.7092,0.0,
instagram,post,DVoVpj1D7fI,,https://www.instagram.com/tvkcbehq/reel/DVoVpj1D7fI/,tvksampathcbe,,"""That was an awesome moment with mass moments"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:38.207407,,False,positive,0.9209,0.0,
instagram,post,DVnXSqQD2xk,,https://www.instagram.com/tvkcbehq/reel/DVnXSqQD2xk/,tvksampathcbe,,"""All set for mass gathering at Coimbatore today under the supervision of our district secretary Sambath Kumar sir"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:43.625530,,False,positive,0.5245,0.0,
instagram,post,DVlJXQ6D-BU,,https://www.instagram.com/tvkcbehq/reel/DVlJXQ6D-BU/,tvksampathcbe,,"""⁨	கோவை மாநகர் மாவட்டம் அண்ணன் திரு சம்பத்குமார் அவர்களின் தலைமையில் நாளை மாலை 4 மணிக்கு கோவை கணபதி சக்தி சாலையில் மாபெரும் பொது கூட்டம் “எங்கள் கனவை சொல்கிறோம் கேளுங்கள் “ சிறப்பாக நடைபெறுகிறது. அனைவரும் கலந்துகொள்ளுமாறு தங்களை அன்புடன் அழைக்கிறோம்.⁩"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:48.314405,,False,neutral,0.608,0.0,
instagram,post,DViK9QOj_Mn,,https://www.instagram.com/tvkcbehq/p/DViK9QOj_Mn/,tvksampathcbe,,"""All set for அக்னி சிறகே 2.0 on Sunday March 8 2026"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:52.842628,,False,neutral,0.8932,0.0,
instagram,post,DVhFGFPE-Yq,,https://www.instagram.com/parota_balu/reel/DVhFGFPE-Yq/,tvksampathcbe,,"6,278 likes, 21 comments - parota_balu on March 5, 2026",,,,,,,scrapling_instagram_profile,2026-04-13T01:49:57.529370,,False,neutral,0.7877,0.0,
instagram,post,DVgKVWhD7eM,,https://www.instagram.com/tvkcbehq/reel/DVgKVWhD7eM/,tvksampathcbe,,"""கோவை மாநகர் மாவட்ட செயலாளர் அண்ணன் திரு சம்பத்குமார் அவர்களின் தலைமையில் வரும் ஞாயிறு மாலை 4 மணிக்கு கணபதி இல் மாபெரும் கொள்கை விளக்க பொதுகூட்டம் “எங்கள் கனவுகளை சொல்கிறோம் கேளுங்கள் “ நடைபெறும் இடத்திற்கு இன்று பூமி பூஜை நடைபெற்றது"".",,,,,,,scrapling_instagram_profile,2026-04-13T01:50:02.361859,,False,neutral,0.7817,0.0,
