platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,post,C4sw3bbyvT_,,https://www.instagram.com/udumalai_admk/reel/C4sw3bbyvT_/,udumalai_admk,,"9 likes, 0 comments - udumalai_admk on March 19, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:35.313384,,False,neutral,0.6883,3.0,
instagram,post,C4smqaeS26J,,https://www.instagram.com/udumalai_admk/reel/C4smqaeS26J/,udumalai_admk,,"15 likes, 0 comments - udumalai_admk on March 19, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:39.827760,,False,neutral,0.6594,3.0,
instagram,post,C4sb5SvSlOO,,https://www.instagram.com/udumalai_admk/reel/C4sb5SvSlOO/,udumalai_admk,,"""@annamalai_kuppusamy😂😂 nota va thanduviya..."".",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:43.662054,,False,neutral,0.3907,0.0,
instagram,post,C4qH5JiS6tb,,https://www.instagram.com/udumalai_admk/reel/C4qH5JiS6tb/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:48.042220,,False,neutral,0.5879,3.0,
instagram,post,C4pkPwRy8tm,,https://www.instagram.com/udumalai_admk/reel/C4pkPwRy8tm/,udumalai_admk,,"4 likes, 0 comments - udumalai_admk on March 18, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:51.998737,,False,neutral,0.6878,3.0,
instagram,post,C4pKl0RSeDA,,https://www.instagram.com/udumalai_admk/reel/C4pKl0RSeDA/,udumalai_admk,,"""@dmkitwing unga kutani mla sollaratha ketu therinjukonga....#admk #eps"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:56.054063,,False,neutral,0.3806,3.0,
instagram,post,C4mpi01ylat,,https://www.instagram.com/udumalai_admk/reel/C4mpi01ylat/,udumalai_admk,,"""200rupai vanginal pothum assembly endru kuda paramal sombu thukum DMK up minister......."".",,,,,,,scrapling_instagram_profile,2026-04-12T20:09:59.877821,,False,negative,0.4332,3.0,
instagram,post,C4mkLVbSP1B,,https://www.instagram.com/udumalai_admk/reel/C4mkLVbSP1B/,udumalai_admk,,"19 likes, 0 comments - udumalai_admk on March 16, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:03.780707,,False,neutral,0.6988,3.0,
instagram,post,C4fBQUbyHcc,,https://www.instagram.com/udumalai_admk/reel/C4fBQUbyHcc/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:07.681787,,False,neutral,0.5879,3.0,
instagram,post,C4ZqK9OSOTr,,https://www.instagram.com/udumalai_admk/reel/C4ZqK9OSOTr/,udumalai_admk,,"""@mkstalin"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:11.780651,,False,neutral,0.5759,3.0,
instagram,post,C4Us478SI9E,,https://www.instagram.com/udumalai_admk/reel/C4Us478SI9E/,udumalai_admk,,"4 likes, 0 comments - udumalai_admk on March 9, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:15.806744,,False,neutral,0.6856,3.0,
instagram,post,C34VYpuyyGp,,https://www.instagram.com/udumalai_admk/reel/C34VYpuyyGp/,udumalai_admk,,"8 likes, 0 comments - udumalai_admk on February 27, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:19.844499,,False,neutral,0.6855,3.0,
instagram,post,C2zBlkKyJVR,,https://www.instagram.com/udumalai_admk/reel/C2zBlkKyJVR/,udumalai_admk,,"""@mkstalin ithuku case poda matingala"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:24.496412,,False,neutral,0.4454,3.0,
instagram,post,C2yrk9uyqkt,,https://www.instagram.com/udumalai_admk/reel/C2yrk9uyqkt/,udumalai_admk,,"20 likes, 0 comments - udumalai_admk on January 31, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:29.635000,,False,neutral,0.6582,3.0,
instagram,post,C2uQUHwSfMB,,https://www.instagram.com/udumalai_admk/reel/C2uQUHwSfMB/,udumalai_admk,,"19 likes, 0 comments - udumalai_admk on January 30, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:33.741144,,False,neutral,0.6943,3.0,
instagram,post,C2mAxhkyrr5,,https://www.instagram.com/udumalai_admk/reel/C2mAxhkyrr5/,udumalai_admk,,"13 likes, 0 comments - udumalai_admk on January 26, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:38.331463,,False,neutral,0.6771,3.0,
instagram,post,C2hmSSBSKIC,,https://www.instagram.com/udumalai_admk/p/C2hmSSBSKIC/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:42.301608,,False,neutral,0.5879,3.0,
instagram,post,C2hCHZHSxw8,,https://www.instagram.com/udumalai_admk/reel/C2hCHZHSxw8/,udumalai_admk,,"5 likes, 0 comments - udumalai_admk on January 25, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:46.329961,,False,neutral,0.6669,3.0,
instagram,post,C2fFR5cylsH,,https://www.instagram.com/udumalai_admk/reel/C2fFR5cylsH/,udumalai_admk,,"""@udhay_stalin 😂."".",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:51.608565,,False,neutral,0.5485,3.0,
instagram,post,C2WmCThSshn,,https://www.instagram.com/udumalai_admk/reel/C2WmCThSshn/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:10:57.862643,,False,neutral,0.5879,3.0,
instagram,post,C2Wl1ncSXeq,,https://www.instagram.com/udumalai_admk/reel/C2Wl1ncSXeq/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:02.103396,,False,neutral,0.5879,3.0,
instagram,post,C2WQmYZSbI7,,https://www.instagram.com/udumalai_admk/reel/C2WQmYZSbI7/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:06.062241,,False,neutral,0.5879,3.0,
instagram,post,C2Sg5q7yPEu,,https://www.instagram.com/udumalai_admk/reel/C2Sg5q7yPEu/,udumalai_admk,,"20 likes, 0 comments - udumalai_admk on January 19, 2024",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:10.014188,,False,neutral,0.651,3.0,
instagram,post,C169LAYy_sD,,https://www.instagram.com/udumalai_admk/reel/C169LAYy_sD/,udumalai_admk,,"""@covai_admk   #admk #makkal"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:14.265069,,False,neutral,0.6407,3.0,
instagram,post,C16rpFKSWcd,,https://www.instagram.com/udumalai_admk/reel/C16rpFKSWcd/,udumalai_admk,,"""@mkstalin @trbrajaa 😂"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:18.343129,,False,neutral,0.5428,3.0,
instagram,post,C16d6a-SLVT,,https://www.instagram.com/udumalai_admk/reel/C16d6a-SLVT/,udumalai_admk,,"""Good family 😂"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:22.461964,,False,positive,0.8025,0.0,
instagram,post,C1teM86yTis,,https://www.instagram.com/udumalai_admk/reel/C1teM86yTis/,udumalai_admk,,"""@udyanithi"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:26.406733,,False,neutral,0.4606,0.0,
instagram,post,C1tF2LEyL87,,https://www.instagram.com/udumalai_admk/reel/C1tF2LEyL87/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:30.264347,,False,neutral,0.5879,3.0,
instagram,post,C1nyQiEyc47,,https://www.instagram.com/udumalai_admk/reel/C1nyQiEyc47/,udumalai_admk,,"""@mkstalin matikittayae pangu.... Appo nee than PanAm illa nu poi solaraya...."".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:34.205245,,False,negative,0.4589,3.0,
instagram,post,C1hSR16ykd6,,https://www.instagram.com/udumalai_admk/reel/C1hSR16ykd6/,udumalai_admk,,"""#admk #happynewyear"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:38.082921,,False,positive,0.5831,3.0,
instagram,post,C1Y7QWPSRXL,,https://www.instagram.com/udumalai_admk/reel/C1Y7QWPSRXL/,udumalai_admk,,"""#captainvijaykanth  #tamil"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:42.372550,,False,neutral,0.4281,3.0,
instagram,post,C1Yo1bQyHfI,,https://www.instagram.com/udumalai_admk/reel/C1Yo1bQyHfI/,udumalai_admk,,"""#Admk  #captainvijaykanth"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:46.391668,,False,neutral,0.4441,3.0,
instagram,post,C1XG1WeyORc,,https://www.instagram.com/udumalai_admk/reel/C1XG1WeyORc/,udumalai_admk,,"""#Admk  @vvrajsatyan"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:50.854392,,False,neutral,0.5577,3.0,
instagram,post,C1WYEydyofq,,https://www.instagram.com/udumalai_admk/reel/C1WYEydyofq/,udumalai_admk,,"""@mkstalin 😂   #admk  #dmkfails #Admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:55.007675,,False,negative,0.7903,3.0,
instagram,post,C1UCuZQywj0,,https://www.instagram.com/udumalai_admk/reel/C1UCuZQywj0/,udumalai_admk,,"""#admk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:11:59.371088,,False,neutral,0.5879,3.0,
instagram,post,C1T7D3XSCaV,,https://www.instagram.com/udumalai_admk/reel/C1T7D3XSCaV/,udumalai_admk,,"""#admk #chennai"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:12:03.309299,,False,neutral,0.6352,3.0,
instagram,post,C1MSegryGu_,,https://www.instagram.com/udumalai_admk/reel/C1MSegryGu_/,udumalai_admk,,"""#dmkfails #admk #chennai  @singai_g_ramachandran"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:12:07.288994,,False,negative,0.8257,3.0,
instagram,post,C1MOeeKSDiu,,https://www.instagram.com/udumalai_admk/reel/C1MOeeKSDiu/,udumalai_admk,,"""#admk #dmkfails #chennai #dmk"".",,,,,,,scrapling_instagram_profile,2026-04-12T20:12:11.256410,,False,negative,0.8458,3.0,
