platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,district
instagram,comment,DXB4RgMj-Uv_c0,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.5468,0.0,
instagram,comment,DXB4RgMj-Uv_c1,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4607,0.0,
instagram,comment,DXB4RgMj-Uv_c2,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.6627,0.0,
instagram,comment,DXB4RgMj-Uv_c3,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,negative,0.3923,0.0,
instagram,comment,DXB4RgMj-Uv_c4,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.5217,0.0,
instagram,comment,DXB4RgMj-Uv_c5,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.6173,0.0,
instagram,comment,DXB4RgMj-Uv_c6,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.8975,0.0,
instagram,comment,DXB4RgMj-Uv_c7,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4005,0.0,
instagram,comment,DXB4RgMj-Uv_c8,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Start the conversation.,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.6087,0.0,
instagram,comment,DXB4RgMj-Uv_c9,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.6687,0.0,
instagram,comment,DXB4RgMj-Uv_c10,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.5378,0.0,
instagram,comment,DXB4RgMj-Uv_c11,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4516,0.0,
instagram,comment,DXB4RgMj-Uv_c12,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,English,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4064,0.0,
instagram,comment,DXB4RgMj-Uv_c13,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Privacy,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4551,0.0,
instagram,comment,DXB4RgMj-Uv_c14,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Meta,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4338,0.0,
instagram,comment,DXB4RgMj-Uv_c15,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Jobs,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.4209,0.0,
instagram,comment,DXB4RgMj-Uv_c16,DXB4RgMj-Uv,https://www.instagram.com/udumalpet_town_dmk_/reel/DXB4RgMj-Uv/,unknown,,Contact Uploading & Non-Users,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:45.757505,,False,neutral,0.9274,0.0,
instagram,comment,DW-2qseDys2_c0,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Meta AI,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.5468,0.0,
instagram,comment,DW-2qseDys2_c1,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Blog,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.4607,0.0,
instagram,comment,DW-2qseDys2_c2,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Meta Verified,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.6627,0.0,
instagram,comment,DW-2qseDys2_c3,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Help,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,negative,0.3923,0.0,
instagram,comment,DW-2qseDys2_c4,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Locations,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.5217,0.0,
instagram,comment,DW-2qseDys2_c5,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Messages,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.6173,0.0,
instagram,comment,DW-2qseDys2_c6,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,© 2026 Instagram from Meta,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.8975,0.0,
instagram,comment,DW-2qseDys2_c7,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Terms,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.4005,0.0,
instagram,comment,DW-2qseDys2_c8,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Start the conversation.,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.6087,0.0,
instagram,comment,DW-2qseDys2_c9,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Instagram Lite,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.6687,0.0,
instagram,comment,DW-2qseDys2_c10,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,Threads,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.5378,0.0,
instagram,comment,DW-2qseDys2_c11,DW-2qseDys2,https://www.instagram.com/udumalpet_town_dmk_/reel/DW-2qseDys2/,unknown,,About,,,,,,,scrapling_instagram_profile,2026-04-12T19:24:49.357916,,False,neutral,0.4516,0.0,
